,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,803800.1507430568
Total Return [%],-19.61998492569433
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000387
Total Fees Paid,0.0
Max Drawdown [%],23.876371600080976
Max Drawdown Duration,352 days 00:00:00
Total Trades,48459
Total Closed Trades,48199
Total Open Trades,260
Open Trade PnL,9540.715785194185
Win Rate [%],66.73167493101516
Best Trade [%],232.40514075887398
Worst Trade [%],-30.033268515008633
Avg Winning Trade [%],8.487864507717049
Avg Losing Trade [%],-3.774247846087156
Avg Winning Trade Duration,5 days 21:03:36.241760975
Avg Losing Trade Duration,4 days 23:59:00.049202043
Profit Factor,0.8464970465520185
Expectancy,-4.587810739423819
Sharpe Ratio,-0.7268522347213231
Calmar Ratio,-0.8339983502375897
Omega Ratio,0.9002007712076793
Sortino Ratio,-0.9079545586026265
