,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1148786.4283557879
Total Return [%],14.878642835578793
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000118
Total Fees Paid,0.0
Max Drawdown [%],18.41083752379184
Max Drawdown Duration,132 days 00:00:00
Total Trades,46878
Total Closed Trades,46618
Total Open Trades,260
Open Trade PnL,-8778.843850936697
Win Rate [%],64.97490239821528
Best Trade [%],163.20541760722344
Worst Trade [%],-30.676155792676607
Avg Winning Trade [%],5.350517902687328
Avg Losing Trade [%],-3.1266153492250814
Avg Winning Trade Duration,4 days 15:13:55.047870584
Avg Losing Trade Duration,4 days 18:13:24.063177454
Profit Factor,1.1231193532274781
Expectancy,3.068756432557091
Sharpe Ratio,0.7288982283565411
Calmar Ratio,0.8226276678058222
Omega Ratio,1.1159681271295727
Sortino Ratio,0.9379863223308513
