,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,882873.8986674369
Total Return [%],-11.712610133256305
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000178
Total Fees Paid,0.0
Max Drawdown [%],22.97025505717404
Max Drawdown Duration,327 days 00:00:00
Total Trades,44858
Total Closed Trades,44598
Total Open Trades,260
Open Trade PnL,6793.860001609156
Win Rate [%],64.95134310955648
Best Trade [%],190.5041215820508
Worst Trade [%],-36.59265507534471
Avg Winning Trade [%],7.527608847215118
Avg Losing Trade [%],-3.879538655640516
Avg Winning Trade Duration,5 days 20:05:03.738737183
Avg Losing Trade Duration,5 days 08:29:39.869416251
Profit Factor,0.8943021487199004
Expectancy,-3.053903058182211
Sharpe Ratio,-0.40087249579972717
Calmar Ratio,-0.5178973016263463
Omega Ratio,0.940279625655667
Sortino Ratio,-0.5039653903992393
