,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1041883.38658985
Total Return [%],4.188338658984992
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000104
Total Fees Paid,0.0
Max Drawdown [%],20.638221706585007
Max Drawdown Duration,159 days 00:00:00
Total Trades,49982
Total Closed Trades,49722
Total Open Trades,260
Open Trade PnL,-4799.776192491841
Win Rate [%],64.0722416636499
Best Trade [%],199.41345599068902
Worst Trade [%],-32.75681659536034
Avg Winning Trade [%],5.428402150853116
Avg Losing Trade [%],-3.3492585720571477
Avg Winning Trade Duration,4 days 03:06:37.991085441
Avg Losing Trade Duration,4 days 10:47:53.630486560
Profit Factor,1.032459187856927
Expectancy,0.5616145242025787
Sharpe Ratio,0.29484625716195806
Calmar Ratio,0.20640388418073793
Omega Ratio,1.04447287318296
Sortino Ratio,0.37590149399848083
