,G1,G2,G3,G4,G5
20241202,0.0041693468652198055,0.026728432760982614,0.016684744457151294,0.01007914136830679,0.00887973975061563
20241209,0.03559836546778122,0.03031006658144484,0.018925045431452146,0.01517619154565891,0.007718948017220769
20241216,-0.12052004781416088,-0.07966074264310309,-0.06508842144905515,-0.04441696698358585,-0.039809723941669733
20241223,-0.0007249722820571844,0.006846383594221295,0.013649847483451582,0.005599098428519801,0.0038898534652239873
20241230,-0.08561861236190908,-0.06877078723495988,-0.07089655504622014,-0.06973999652644924,-0.07550262999008797
20250106,-0.04610212631537198,-0.029443637416840508,-0.013017599847103314,-0.005339456452588349,0.020669409541858204
20250113,0.044465640799451964,0.04899485526161734,0.057293944288693936,0.0645538924524274,0.08162490834215884
20250120,-0.027826996648684578,-0.0058302836537189396,-0.011874928359186597,-0.015893308140970726,-0.02110604669533114
20250127,0.0021752607982971884,-0.0006291220267677935,0.004598467939943016,0.007583546877128637,0.01077792046924504
20250205,0.050980767238646564,0.0423893549158416,0.042605206922537504,0.04419824469872431,0.060794558591694074
20250210,0.03883966120416118,0.012244256997096028,0.0034948698607433688,0.0032556019151502363,0.0005610022352326867
20250217,0.018437826469602625,0.014318950961625481,0.004761495237330518,0.001192000137847754,-9.606747846539277e-05
20250224,-0.0350101968914379,-0.01822269804615094,-0.006852484229097168,-0.0055193761921225395,0.005985188571178611
20250303,0.034262120705470925,0.028850228631305805,0.024763091709852258,0.020154641328369204,0.017276545739188805
20250310,0.010944408203982967,0.023985899959972336,0.031028064129369884,0.03307495459500776,0.03597246808045311
20250317,-0.03000934389849651,-0.006071727645710533,-0.014152010919689997,-0.016356374170350012,-0.032874208402617344
20250324,-0.04377155360741649,-0.020878792331529495,-0.018813894143887788,-0.01598015716129532,-0.02628821005033917
20250331,-0.07556121095587305,-0.07440539436573063,-0.07453996026096615,-0.07676214334678433,-0.09002624310197163
20250407,0.06962989229543655,0.058988983767921006,0.06095607820034622,0.0624871953947755,0.05214790146358286
20250414,0.007992846223529824,0.013146415178648143,0.013395125245311243,0.013596723144224285,0.01117158939769643
20250421,-0.018939397010028558,-0.0065310593152824665,0.0003729761896722304,-0.003848765713086225,-0.0009479547521788916
20250428,0.005921203806894957,0.02369870903990529,0.0306863771910658,0.03984175607527789,0.061795624914469056
20250506,0.008787520903306641,0.01249848129651293,0.01862344588526796,0.018182531143303714,0.02450169968709802
20250512,0.02202865947343376,0.019327024933508328,0.014262129578410988,0.012512282061367758,0.022066098851154285
20250519,-0.011892917079290664,-0.00950002668970907,-0.0045568382537097794,-0.00794790216150713,-0.014827802702789515
20250526,0.010698548410948852,0.012360981776935823,0.016968530322499502,0.021562976069477564,0.015002477863090391
20250603,0.014665418639271465,0.023725439743274155,0.022143170124493308,0.021612183139977658,0.02218348615419175
20250609,-0.01655546606414945,-0.007910222265607217,-0.011142417440574965,-0.01123349753396761,-0.016860383338819895
20250616,-0.029949372980546625,-0.010762706204695667,-0.006167422696813828,-0.012359202750602472,-0.01633392123298652
20250623,0.03523978136818385,0.03482112813087544,0.03603605503220627,0.038128564953102594,0.04528140835477915
20250630,-8.57817844652507e-05,0.007885666497906823,0.01403194248916057,0.019047617841401153,0.023347234375770305
20250707,0.014655528545398137,0.027438561282999242,0.026058293275270043,0.022871064674053927,0.019369878173220594
20250714,0.008288341101868962,0.01916665680171806,0.014537684754400928,0.01677170447100598,0.01253837311639014
20250721,-1.3576105360158593e-05,0.006283114429932916,0.007147022285161644,0.0054831151226055206,0.004710295030468432
20250728,-0.005980296400451424,-0.004990481668012012,-0.007799365281157348,-0.006296169146148529,-0.009146713676369928
20250804,0.024401455890843096,0.032823047826381783,0.028197015464027114,0.02686168443112346,0.026657605671406782
20250811,0.009674924021391577,0.014966657027606538,0.008271783823388385,0.006091246718517945,0.015074118664342046
20250818,0.011320050446125718,0.030598578182713474,0.033292452004624815,0.02977057957138981,0.026129602410918995
20250825,-0.012194368567229212,-0.007849890882869241,-0.01140024345357932,-0.013960273473680142,-0.01634846991270921
20250901,-0.02547582444524145,-0.004095338287667679,0.011301808579663392,0.0008357649531279623,-0.00035172588293121555
20250908,0.018452095735824996,0.0031633295620081183,0.0024074183752162493,-0.0006219449830866568,-0.0029511269494797033
20250915,-0.01912621827094501,-0.014599423072811089,-0.014490476548513863,-0.008868555473529252,-0.00710391819797146
20250922,-0.007741978815913974,-0.006306057314499272,-0.003787466202748374,-0.003788790641591458,-0.007333963654828274
20250929,0.005573230876913379,0.011152224194258238,0.007474354571696926,0.006446012076549213,0.011124917673142455
20251009,0.0025105444454759747,0.005629470478096131,0.0026666009027829277,0.0053183820640576186,0.003202632497599391
20251013,-0.009422516232777027,-0.007363317418891312,-0.001170577990094156,0.0012137414596986823,-0.001438138780437301
20251020,0.005935040336934076,0.024515442851894328,0.018781982785143828,0.02113556748235593,0.02794824464835016
20251027,0.005323066392778506,0.011511267150909532,0.00992011197674351,0.01137387507060148,0.015209166831398627
20251103,0.03165577928020039,0.03399039670531262,0.018434954657440748,0.019477953064440667,0.009801292154404923
20251110,0.026421671276331653,0.013051241191805523,0.014124739124457645,0.006359530433565039,0.0027763504639683216
20251117,-0.09365118997009139,-0.056303016958661134,-0.050928647773000164,-0.05187661891425395,-0.050269503348578756
20251124,0.03204588918963827,0.03639173584610014,0.024873091997653203,0.024444212131983674,0.034516854291158416
20251201,0.02061666647808075,0.0021637127992085747,-0.0026474189059267476,0.0014928408015820657,-0.003743164638153048
20251208,-0.020852369761820214,-0.02145638900156707,-0.019867754063426186,-0.016063601351327672,-0.012760918632873522
20251215,0.0014108074378289379,0.014911400377205576,0.018538159449457588,0.018043681809944073,0.014587962642687866
20251222,0.007491174098857769,0.009641019029954317,0.01128248734548306,0.004032249140472479,0.0037557976242043795
20251229,-0.00193593464115808,-0.0005602260356204568,0.0062625853102696565,0.006460475190415801,0.013939019480800077
20260105,0.08145698344250456,0.049739804485658325,0.042776602355837814,0.04268665336210176,0.041031735180630434
20260112,-0.03732882184842212,0.005172230748747941,0.010675329466726557,0.0019368250713029625,-0.0018149973089187422
20260119,0.01800726077244544,0.020138246294388356,0.020336392634058502,0.019700361445284267,0.011838828732326315
20260126,-0.03976836119316955,-0.04023993694323732,-0.03393897656353391,-0.03569297340812251,-0.026141083845383842
20260202,0.03401291246775308,0.033537678257406195,0.035395469091062504,0.033874633759724944,0.03775476372485757
