,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.14269497653259558,-0.20965193481905406,-0.005315127207968201
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,0.0015718715221742245,-0.010527496718215769,0.0007172884247787954
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.22570422930885775,-0.21361045450289412,-0.1100615705688251
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.15944853284729615,-0.1556507366532896,-0.06693069061672949
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.016780282416194843,0.004583777161844867,-0.05724551603088022
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.2506684510665532,-0.30524277009709433,-0.08395747440920659
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.06402840604980742,0.044067377537595986,-0.06423882258375488
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.0036746233655339947,0.14913007816456744,-0.03139660148609906
20241231,,,
20250102,,,
20250103,,,
20250106,-0.2759082631691216,-0.35423277030829636,-0.09532365528398223
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.0913850713133782,-0.10654556239800726,-0.01917302069643005
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.22638073132877506,-0.14029964295362568,-0.07703737747457312
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.06610776083603082,-0.06171636832548464,0.005315840854906184
20250205,-0.07149746275552832,-0.17065812310619008,-0.011440710142141895
20250206,,,
20250207,,,
20250210,0.2860488415523419,0.16011906598385972,0.11433592759024733
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.015841206378971056,0.0674111765241366,-0.0019899182610143063
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.2736864155033694,-0.28004696153403297,-0.09971178485026079
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.08308217084041672,0.0009116240896602023,0.05319873126133874
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.09971016121212846,-0.16790568152941793,-0.013739906499534505
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.014927940620392642,0.05939738437551921,-0.02916045929509528
20250318,,,
20250319,,,
20250320,,,
20250321,,,
