,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,877840.3683782867
Total Return [%],-12.215963162171331
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000237
Total Fees Paid,0.0
Max Drawdown [%],25.955029048526374
Max Drawdown Duration,329 days 00:00:00
Total Trades,45905
Total Closed Trades,45645
Total Open Trades,260
Open Trade PnL,19501.9678487239
Win Rate [%],67.19027275714755
Best Trade [%],287.13948127506217
Worst Trade [%],-31.390776910961453
Avg Winning Trade [%],10.498775476987605
Avg Losing Trade [%],-4.306968416308173
Avg Winning Trade Duration,7 days 15:36:11.691284358
Avg Losing Trade Duration,6 days 01:27:11.591737545
Profit Factor,0.886846422450751
Expectancy,-3.4034905674529874
Sharpe Ratio,-0.3632807802557178
Calmar Ratio,-0.47801564541410585
Omega Ratio,0.9487975685807706
Sortino Ratio,-0.45697288845887657
