factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,selected,drop_reason
_root__momentum_factor,-0.022379340481641155,0.24039533579455996,-0.09309390470356867,-0.05871814756663379,0.31511286830478147,-0.18634004978127644,0.10344827586206896,True,
_root__risk_adjusted_momentum,-0.0021842323778139294,0.22594678558121362,-0.009667021251023,-0.03754400641331689,0.28941795451569574,-0.129722450965912,0.13793103448275862,True,
