,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1368863.68365062
Total Return [%],36.886368365062005
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000304
Total Fees Paid,0.0
Max Drawdown [%],18.338343336106977
Max Drawdown Duration,129 days 00:00:00
Total Trades,49261
Total Closed Trades,49001
Total Open Trades,260
Open Trade PnL,-11105.47185341662
Win Rate [%],65.84967653721353
Best Trade [%],187.22833568907535
Worst Trade [%],-30.593559741066613
Avg Winning Trade [%],5.23694070048703
Avg Losing Trade [%],-3.178261409246001
Avg Winning Trade Duration,4 days 04:02:49.138748566
Avg Losing Trade Duration,4 days 16:08:13.305895170
Profit Factor,1.2506853026596674
Expectancy,7.357408212324014
Sharpe Ratio,1.4875241524069416
Calmar Ratio,2.050707614651328
Omega Ratio,1.2453128008882917
Sortino Ratio,1.961570304256315
