date,000001.SZ,000002.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000011.SZ,000012.SZ
2025-01-21,,,,,,,,
2025-01-22,,,,,,,,
2025-01-23,,,,,,,,
2025-01-24,,,,,,,,
2025-01-27,,,,,,,,
2025-02-05,,,,,,,,
2025-02-06,,,,,,,,
2025-02-07,,,,,,,,
2025-02-10,,,,,,,,
2025-02-11,,,,,,,,
2025-02-12,,,,,,,,
2025-02-13,,,,,,,,
2025-02-14,,,,,,,,
2025-02-17,,,,,,,,
2025-02-18,,,,,,,,
2025-02-19,,,,,,,,
2025-02-20,,,,,,,,
2025-02-21,,,,,,,,
2025-02-24,,,,,,,,
2025-02-25,-0.0010450964773793814,0.026052085849940676,-0.07329769228910843,-0.04811100459449069,0.06227109442105383,0.004101868461716007,-0.004383608935739858,-0.007832890670783521
2025-02-26,0.0024801258307336482,0.044080461638317026,-0.03763556249237854,-0.03342969218802283,0.08078603117351535,0.016968770226395646,0.017417437837876193,0.007122069221276561
2025-02-27,0.008855687329854423,0.034642641359366344,-0.01801998481690925,-0.03444174627295693,0.05567608627923559,0.012220406318366184,0.01884071543586696,0.0002003929897063106
2025-02-28,0.00013008221816601662,0.024048631341725857,-0.06568058450648007,-0.06663677902263976,0.0010802842749606523,-0.014409194497810307,-0.0040747460523566925,-0.0060120183030932806
2025-03-03,-0.002340283855863712,0.0266209803712949,-0.05266253633423923,-0.04912122947344322,-0.009510150402464057,0.01289137056188605,-0.008739415191341027,-0.0061116085974622925
2025-03-04,-0.002513203304275291,0.004404116036556882,-0.036322112442368826,-0.02600828044535808,-0.003571450679885957,0.002411255314976657,-0.006396801638520411,-0.005912412798446787
2025-03-05,0.00921796568702371,-0.013687834108061847,-0.03763837581239815,-0.029229153948285957,-0.0005335521973187651,-0.00945825164780656,-0.020979079175271087,-0.011925081337672117
2025-03-06,0.005446529859351346,0.012773722911281649,-0.010120434582279514,-0.021978875022151012,0.00035470577990937,-0.0037217433983526282,-0.004000705583457442,-0.007817238152590611
2025-03-07,0.007641495007727261,-0.019211953912258495,-0.044793818939972696,-0.02681232306330772,-0.018426659667985845,-0.017238418482561135,-0.02144697250907157,-0.010536914476568904
