code,date,close,amount,ma_amount,ratio,market_cap,last_price
603006.SH,20260116,14.08,220741926.0,41435083.6,5.327415967853869,36.434634025,14.33
603089.SH,20260119,14.23,317525890.0,78397225.45,4.050218463439257,34.7808205332,14.49
600433.SH,20260116,3.4400000000000004,485338150.0,93114879.85,5.212251261901833,61.4348010783,3.51
600774.SH,20260120,11.64,488612462.0,70343228.6,6.946119359667834,30.9879079681,10.51
600676.SH,20260115,9.26,1273444325.0,204228108.95,6.235401833504565,91.33017342720001,8.88
600158.SH,20260121,9.71,987938086.0,240163861.0,4.1136001140488,93.84037795260001,9.78
601949.SH,20260115,7.800000000000001,586399612.9999999,135771577.9,4.319015968363433,138.037683915,7.25
603165.SH,20260119,14.8,214703708.0,51644210.55,4.157362571979523,39.5100313305,14.97
600189.SH,20260120,8.13,671003187.0,135456625.05,4.953638751536279,58.574700802799995,8.19
600649.SH,20260121,5.45,1611868488.0,243722060.75,6.613551859195003,135.9943917024,5.43
601096.SH,20260116,4.83,786774859.0,118465906.85,6.641361045724355,83.6275059369,5.09
600662.SH,20260115,6.88,992028897.0,127507358.1,7.780169801824167,137.0435609424,6.02
603980.SH,20260121,5.94,498410833.0,78218662.35,6.372019388030356,38.9179182,5.75
600610.SH,20260121,11.76,1793984200.0,321889019.8,5.573300391279765,85.1180772705,12.01
601968.SH,20260120,6.32,607695463.0,132965284.5,4.5703317620472586,76.5467676,6.0
600261.SH,20260119,3.7,213254889.0,47577694.5,4.482245120137127,49.797475631800005,3.73
600853.SH,20260120,4.9,740863529.9999999,175549251.85,4.220260252849377,45.109474047,4.45
600744.SH,20260116,6.63,1654987612.0,282992399.1,5.848169835173499,134.8666517936,6.640000000000001
603002.SH,20260115,8.19,941760789.0,220266764.8,4.275546471366705,98.77823813390002,8.71
600073.SH,20260120,6.96,409630078.0,85578895.3,4.786578239459934,61.0461886272,6.51
600731.SH,20260121,7.590000000000001,273160922.0,57723009.2,4.732270991859516,40.842872940999996,7.54
600770.SH,20260121,6.18,526391704.0,122446450.3,4.298954381366824,88.4,6.8
601616.SH,20260116,4.58,505435907.00000006,111730646.35,4.5236998398515045,49.6839035658,5.82
600841.SH,20260119,6.859999999999999,589574760.0,91704477.45,6.429072782421705,81.2516073036,7.79
603070.SH,20260120,15.44,261585391.0,58665947.05,4.4588965857323535,58.8775776012,14.89
002114.SZ,20260116,9.73,974096695.23,226798154.943,4.2949939141912985,32.662473123,10.1
002239.SZ,20260121,3.31,1627694841.81,303962994.846,5.354911187905147,109.0711367264,3.34
002452.SZ,20260116,9.500000000000002,856591643.9999999,174555675.061,4.907268948435258,51.07457421,9.9
000720.SZ,20260119,4.0,713260517.6600001,113595263.53099999,6.278963536761832,46.8686275983,3.73
002637.SZ,20260121,12.34,659312967.9900001,160706316.82850003,4.102595224639459,56.181567735,12.69
002628.SZ,20260119,4.5,253646805.2,61644764.430999994,4.114652842641828,34.5987224118,4.59
000525.SZ,20260120,6.19,613672784.4599999,129884420.8645,4.7247605245913595,66.48324829900001,5.98
002218.SZ,20260116,5.15,2348570067.93,576468185.333,4.074067099771232,68.7844735006,4.94
000401.SZ,20260115,4.79,246605005.28,57308815.344500005,4.303090262773456,126.04186512620001,4.79
002427.SZ,20260115,7.680000000000001,882108194.1800001,217411871.80550003,4.0573138295278905,75.1330285818,7.63
002440.SZ,20260121,9.01,792558238.18,142639101.949,5.556388306927056,86.4971823466,9.14
002662.SZ,20260121,4.53,649439625.59,158204267.2825,4.105070215522807,65.39917596000001,4.36
002707.SZ,20260116,8.32,1763131609.7500002,318937181.3755,5.528146960307462,67.33690956,8.16
002004.SZ,20260115,5.37,782225879.03,185752903.48200002,4.2111098365996735,102.3600969376,5.44
002115.SZ,20260115,19.54,9421718876.1,2195741326.268,4.290905656047227,107.2630828632,14.26
002054.SZ,20260115,8.52,772035127.81,166830831.98999998,4.627652566380995,32.7103694319,8.51
002923.SZ,20260116,13.95,282309317.13,61023073.172000006,4.62627171093598,35.0221118381,13.57
000751.SZ,20260116,4.94,2006477000.92,422303688.078,4.751265635523887,73.03120275219999,5.18
000514.SZ,20260120,5.359999999999999,401611346.73,94359115.246,4.256200852275634,43.9604672765,5.21
000560.SZ,20260120,3.22,2006775828.88,451631662.3565,4.443390479775378,71.5132494673,3.17
000601.SZ,20260116,5.16,380722812.81,87103910.2405,4.370903806256202,54.575399164000004,5.2
002546.SZ,20260116,8.26,1921248119.62,302643186.906,6.348228550133307,71.309656544,8.9
002165.SZ,20260121,9.59,2752230739.46,362447695.4655,7.593456308020516,70.58006111200001,9.700000000000001
000930.SZ,20260121,6.4,551512868.1800001,104995470.1655,5.252730115981891,121.59079924,6.55
002554.SZ,20260116,3.78,943480579.34,140603092.9605,6.710240574900117,54.40559742,4.08
002358.SZ,20260121,7.56,2445402748.0,325461766.16800004,7.513640624495683,67.12836168439999,7.22
002606.SZ,20260116,9.85,735517051.2,119743374.25800002,6.142444671846722,45.6096845565,10.83
002437.SZ,20260121,3.51,692884691.5200001,173167284.258,4.001244776049493,72.63329918,3.46
000409.SZ,20260115,12.61,1754661445.24,231087961.148,7.593045680628205,69.345010413,11.82
002021.SZ,20260120,3.16,652262859.53,145817203.535,4.473154358452907,39.9276255594,3.34
