date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1009692.0570158366
2024-12-04,998117.0598797603
2024-12-05,1005609.8995630665
2024-12-06,1027233.5723263435
2024-12-09,1025651.0545586445
2024-12-10,1018622.8276296824
2024-12-11,1031682.8582571163
2024-12-12,1034052.1881167826
2024-12-13,1060901.3784206351
2024-12-16,1067432.744567261
2024-12-17,1056656.6559165046
2024-12-18,1061808.9771073349
2024-12-19,1054975.5986303892
2024-12-20,1048962.000847957
2024-12-23,1034756.3123601811
2024-12-24,1044543.0305658593
2024-12-25,1041847.896900201
2024-12-26,1138956.0447847743
2024-12-27,1155320.6378388756
2024-12-30,1212912.6141526964
2024-12-31,1195573.4494959165
2025-01-02,1169139.4841393006
2025-01-03,1153521.4638547841
2025-01-06,1161821.0344944522
2025-01-07,1166590.7838154119
2025-01-08,1157923.4515752506
2025-01-09,1153420.6108426047
2025-01-10,1133535.9494799534
2025-01-13,1145774.6935736015
2025-01-14,1176158.238449363
2025-01-15,1172590.1309975528
2025-01-16,1180936.201532244
2025-01-17,1182537.5205348984
2025-01-20,1182009.5211180232
2025-01-21,1176539.311397357
2025-01-22,1163099.8017964484
2025-01-23,1169514.226018721
2025-01-24,1176838.4866270085
2025-01-27,1188251.5614577555
2025-02-05,1184069.605420818
2025-02-06,1195228.5466936857
2025-02-07,1212638.5392752446
2025-02-10,1228206.1736794678
2025-02-11,1224583.0078213897
2025-02-12,1231736.3229645612
2025-02-13,1227800.3154917972
2025-02-14,1218412.3544564224
2025-02-17,1228480.5635073169
2025-02-18,1205498.040719012
2025-02-19,1214847.7471372248
