,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,992777.7647358186
Total Return [%],-0.7222235264181398
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000022
Total Fees Paid,0.0
Max Drawdown [%],22.637272428036816
Max Drawdown Duration,218 days 00:00:00
Total Trades,45307
Total Closed Trades,45047
Total Open Trades,260
Open Trade PnL,2428.116681421789
Win Rate [%],64.7723488800586
Best Trade [%],181.6073974185843
Worst Trade [%],-37.6074942065619
Avg Winning Trade [%],7.660332008028664
Avg Losing Trade [%],-4.1934618295104515
Avg Winning Trade Duration,6 days 04:09:40.382479950
Avg Losing Trade Duration,6 days 03:13:53.307868601
Profit Factor,0.9916635372359985
Expectancy,-0.4776192223296505
Sharpe Ratio,0.09178113153453361
Calmar Ratio,-0.03243543120513607
Omega Ratio,1.0137563336168107
Sortino Ratio,0.11533035558445302
