,step,kept,dropped,examples
0,原始报价,10,0,
1,丢弃:无有效价格,0,1,000004.SZ
2,丢弃:ST,0,1,000010.SZ
3,过滤后股票池,8,2,"000001.SZ,000002.SZ,000006.SZ,000007.SZ,000008.SZ"
