,factor,ic_mean,ic_ir,rank_ic_mean,rank_ic_ir,ic_win_rate
0,amount_mean_20,-0.13257636837481254,-0.4315416653438277,-0.13391471344688183,-0.4114632976809613,0.30944625407166126
1,volatility_20,-0.055481744563240044,-0.13405123631714533,-0.04657234867729331,-0.11997729317718639,0.42996742671009774
2,unusual_count,0.04157150564438532,0.12155887938386681,0.042901489350731375,0.11255675695045031,0.49185667752442996
3,turnover_mean_20,-0.038583997238158356,-0.09270254260171043,-0.03195554567924703,-0.08170925331111759,0.4201954397394137
4,capital_flow_strength,0.004905068922821562,0.013412350363377176,-0.009001538742773721,-0.02869434990612087,0.4820846905537459
5,price_strength_20,0.02411036486784623,0.051785104977529424,0.007951755980911222,0.01992777654995313,0.495114006514658
6,momentum_60,0.04107853543906478,0.08994082779702381,0.003274812617302764,0.00861045764919175,0.3745928338762215
7,momentum_20,0.015461571868349011,0.03272918853577744,0.000160111286065919,0.0003848134904941137,0.4755700325732899
