date,000001.SZ,000002.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000011.SZ,000012.SZ
2025-05-27,0.41,0.48,4.55,1.73,1.26,0.42,0.74,0.32
2025-05-28,0.34,0.42,2.91,1.42,3.31,0.33,0.45,0.31
2025-05-29,0.47,0.48,2.7,1.54,2.46,0.54,0.48,0.35
2025-05-30,0.58,0.5,2.44,1.81,1.88,0.51,1.28,0.28
2025-06-03,1.13,0.67,2.03,2.71,1.16,0.6,0.63,0.34
2025-06-04,0.6,0.52,1.44,2.92,1.18,0.4,0.7,0.29
2025-06-05,0.6,0.53,1.6,2.19,2.07,0.37,0.59,0.28
2025-06-06,0.35,0.47,1.24,1.58,2.53,0.69,0.42,0.38
2025-06-09,0.4,0.46,1.52,2.07,1.57,1.04,0.5,0.29
2025-06-10,0.74,1.07,1.83,3.17,2.47,0.66,0.8,0.35
2025-06-11,0.56,1.02,3.86,1.74,1.54,1.25,1.55,0.35
2025-06-12,-0.66,1.11,2.0,1.4,1.43,0.63,0.83,0.46
2025-06-13,0.56,0.9,2.24,2.1,1.53,1.1,0.79,0.79
2025-06-16,0.61,1.34,1.72,1.3,0.97,0.49,0.73,0.39
2025-06-17,0.46,0.6,1.46,1.08,1.79,0.45,0.41,0.24
2025-06-18,0.35,0.65,1.42,1.17,1.28,0.58,0.65,0.21
2025-06-19,0.43,0.88,1.29,1.94,1.66,0.55,0.68,0.32
2025-06-20,0.67,0.54,1.54,1.9,1.06,0.46,0.54,0.26
2025-06-23,0.72,0.57,1.82,1.37,1.04,3.16,0.65,0.36
2025-06-24,0.67,0.64,2.15,1.43,1.44,3.26,0.7,0.38
2025-06-25,0.86,0.84,1.49,1.57,1.86,2.37,0.63,0.47
2025-06-26,1.12,0.68,1.41,1.6,1.75,1.91,0.58,0.39
2025-06-27,1.23,0.81,1.7,1.12,1.19,1.35,0.66,0.33
2025-06-30,0.78,0.62,3.04,2.15,1.2,1.11,0.56,0.38
2025-07-01,0.7,0.62,2.21,1.66,1.27,1.74,0.57,0.51
2025-07-02,0.62,1.35,1.46,0.96,1.53,1.08,0.63,2.09
2025-07-03,0.41,0.83,1.08,1.87,2.12,0.86,0.55,1.11
2025-07-04,0.91,0.81,1.23,1.84,1.54,0.86,0.65,1.12
2025-07-07,0.77,1.24,1.93,2.56,2.25,0.7,2.11,0.73
2025-07-08,0.56,0.96,2.14,2.01,2.43,0.94,1.87,1.37
2025-07-09,0.62,0.76,1.68,1.56,2.56,0.83,1.3,0.69
2025-07-10,1.28,2.59,3.0,1.69,2.41,0.58,1.95,1.69
2025-07-11,1.26,1.68,2.2,1.62,1.61,1.33,1.65,1.32
2025-07-14,0.97,1.24,1.89,1.8,2.8,0.66,1.09,0.68
2025-07-15,0.93,1.57,2.09,2.55,2.71,0.61,1.31,0.94
2025-07-16,0.99,0.87,0.98,1.71,1.63,0.53,0.79,0.58
2025-07-17,0.49,0.73,0.96,1.3,1.21,0.48,0.72,0.51
2025-07-18,0.64,0.59,0.95,1.24,1.13,0.55,0.62,0.43
2025-07-21,0.56,0.77,1.38,1.61,4.05,0.84,0.89,1.44
2025-07-22,1.0,1.53,1.46,2.09,3.75,1.51,0.98,2.38
2025-07-23,0.71,1.76,1.64,1.39,2.36,1.03,0.96,-2.42
2025-07-24,1.01,1.9,2.1,4.2,1.95,1.09,1.15,2.19
2025-07-25,0.57,1.27,1.85,2.42,1.9,1.2,0.71,1.62
2025-07-28,0.64,1.23,2.85,2.06,1.72,2.25,0.87,1.34
2025-07-29,0.52,1.02,1.85,1.55,1.35,1.23,1.01,0.99
2025-07-30,0.88,1.64,1.41,1.4,1.58,1.03,0.98,0.78
2025-07-31,0.87,2.37,1.95,1.6,2.24,1.04,1.5,1.35
2025-08-01,0.52,0.95,1.3,1.55,1.44,0.94,0.65,0.68
2025-08-04,0.53,0.61,1.07,1.62,1.18,1.01,0.69,0.63
2025-08-05,0.58,0.67,1.8,2.11,1.13,0.75,0.84,0.51
2025-08-06,0.36,0.59,1.55,2.27,1.25,0.61,1.97,0.55
2025-08-07,0.37,0.8,2.35,1.83,0.92,0.56,1.19,0.66
2025-08-08,0.43,0.53,3.17,6.6,5.63,0.56,0.88,0.54
2025-08-11,0.48,0.85,6.88,4.91,5.32,0.77,4.7,0.56
2025-08-12,0.35,0.76,8.47,2.16,2.68,0.78,9.11,0.51
2025-08-13,0.58,0.83,11.12,1.67,2.22,0.88,12.25,0.66
2025-08-14,0.64,1.24,7.48,2.08,2.66,1.06,13.22,0.86
2025-08-15,1.0,1.64,5.99,1.75,2.05,1.18,10.14,0.88
2025-08-18,0.64,1.42,7.77,4.72,2.22,1.73,8.03,0.89
2025-08-19,0.46,1.67,7.34,3.83,1.72,1.04,6.23,0.69
2025-08-20,0.54,1.34,5.09,2.62,3.1,1.27,5.59,0.68
2025-08-21,0.63,1.33,4.1,3.33,7.32,1.15,4.45,2.11
2025-08-22,0.85,1.35,3.0,3.47,4.03,0.9,3.46,1.3
2025-08-25,1.57,8.16,4.61,3.28,3.36,1.26,4.05,1.22
2025-08-26,0.71,4.51,3.51,3.14,2.04,0.78,3.15,0.73
2025-08-27,0.96,3.06,5.15,2.24,3.14,-1.27,4.2,1.11
2025-08-28,0.85,2.18,3.38,2.21,2.78,1.17,2.39,0.97
2025-08-29,0.93,2.04,3.01,1.77,1.76,2.76,1.79,0.72
2025-09-01,0.96,1.45,2.75,2.32,1.55,1.64,1.67,0.66
2025-09-02,0.77,2.12,2.83,3.08,2.27,2.38,1.93,0.65
2025-09-03,0.7,1.8,3.42,1.85,2.28,1.72,1.5,0.6
2025-09-04,0.67,1.58,4.32,2.66,1.92,2.3,1.4,0.61
2025-09-05,0.42,1.21,4.04,1.94,1.77,3.73,1.39,0.95
2025-09-08,0.48,2.39,4.59,1.99,1.33,5.43,2.19,1.1
2025-09-09,0.44,2.24,3.42,1.28,1.33,3.99,1.52,0.71
2025-09-10,0.41,1.44,2.4,1.46,1.14,2.72,1.5,0.68
2025-09-11,0.5,1.51,3.1,1.66,1.44,2.11,1.44,0.78
2025-09-12,0.48,3.31,3.12,1.47,2.33,5.23,1.97,0.96
2025-09-15,0.43,2.36,4.26,1.39,2.92,3.32,1.8,0.83
2025-09-16,0.36,2.29,3.12,1.87,4.69,2.05,1.55,0.62
2025-09-17,0.4,1.71,6.04,1.87,3.21,1.75,3.11,0.63
2025-09-18,0.71,2.63,6.04,2.62,3.57,2.06,2.85,1.07
2025-09-19,0.43,2.81,4.81,2.89,2.43,1.34,1.95,0.67
2025-09-22,0.31,2.32,3.69,2.21,1.53,1.1,1.76,0.48
2025-09-23,0.69,1.9,6.04,2.35,2.77,1.74,1.97,0.77
2025-09-24,0.59,1.62,5.15,1.81,1.73,3.82,3.61,0.73
2025-09-25,0.4,1.27,8.6,1.28,1.52,8.47,2.37,0.71
2025-09-26,0.39,1.55,7.45,1.36,4.51,4.21,2.45,0.41
2025-09-29,0.61,1.68,4.91,3.05,2.32,5.44,1.8,0.64
2025-09-30,0.43,1.81,3.69,2.7,1.83,5.31,2.45,0.53
2025-10-09,0.54,2.6,7.66,3.18,1.74,3.72,2.71,0.59
2025-10-10,0.56,1.59,8.4,2.38,2.21,3.31,4.1,0.79
2025-10-13,0.6,2.24,4.33,2.61,2.24,2.69,5.96,0.79
2025-10-14,0.95,1.97,16.75,2.21,1.98,2.77,4.35,1.02
2025-10-15,-0.65,1.82,6.57,1.26,1.81,2.07,2.86,0.79
2025-10-16,0.65,1.48,10.56,1.37,1.7,1.39,7.48,0.65
2025-10-17,0.54,1.47,12.03,1.46,1.95,2.08,5.26,0.65
2025-10-20,0.49,0.89,9.47,1.46,1.36,1.3,2.76,0.49
2025-10-21,0.39,1.05,7.09,1.57,2.81,1.65,3.63,0.58
2025-10-22,0.43,0.8,9.73,1.2,2.42,1.01,4.75,0.42
2025-10-23,0.71,0.78,12.47,1.74,1.69,2.83,1.87,0.74
2025-10-24,0.51,0.76,10.91,1.52,2.6,1.75,8.73,0.93
2025-10-27,0.64,1.08,8.21,1.52,2.13,1.69,4.51,0.63
2025-10-28,0.42,0.94,7.4,1.43,1.37,1.4,6.95,0.99
2025-10-29,0.5,0.88,7.02,6.15,1.47,1.98,8.52,2.19
2025-10-30,0.49,0.76,4.11,7.85,1.93,2.01,5.79,0.97
2025-10-31,0.5,0.87,5.48,4.66,1.75,3.23,5.47,0.87
2025-11-03,0.49,0.71,4.27,5.45,1.81,2.08,4.43,0.71
2025-11-04,0.77,1.11,3.94,4.16,1.73,1.47,3.23,0.63
2025-11-05,0.41,0.71,2.83,3.83,2.46,1.9,2.53,0.98
2025-11-06,0.4,0.92,3.44,5.64,1.7,1.26,2.29,1.15
2025-11-07,0.38,0.75,2.88,7.32,1.82,2.23,2.23,2.13
2025-11-10,0.43,1.06,2.76,9.15,2.78,2.07,2.11,1.22
2025-11-11,0.46,0.93,2.75,9.21,11.44,1.69,2.09,1.4
2025-11-12,0.59,0.89,3.29,7.25,18.05,1.89,2.47,1.17
2025-11-13,0.5,0.79,1.93,3.39,9.83,2.94,2.07,0.92
2025-11-14,0.68,1.22,2.22,3.79,7.38,1.82,2.34,0.91
2025-11-17,0.51,0.87,2.09,3.6,6.65,3.69,1.9,0.93
2025-11-18,0.35,1.5,3.12,3.23,4.96,3.11,2.13,0.97
2025-11-19,0.69,1.05,3.96,2.8,4.7,2.19,2.15,0.78
2025-11-20,0.84,2.02,2.05,5.2,2.73,2.05,1.86,0.69
2025-11-21,0.76,1.27,2.78,5.08,4.21,2.65,2.08,1.08
2025-11-24,0.58,1.04,2.6,3.47,3.62,1.46,1.45,1.31
2025-11-25,0.53,0.99,2.17,2.46,2.29,1.29,1.34,0.92
2025-11-26,0.42,2.06,2.96,2.94,2.29,1.23,1.77,0.97
2025-11-27,0.52,4.08,2.14,2.32,2.16,1.69,2.78,0.49
2025-11-28,0.46,3.04,2.29,4.95,2.34,0.94,1.99,0.57
2025-12-01,0.53,3.31,3.13,4.83,2.0,1.82,1.65,1.02
2025-12-02,0.4,1.74,2.46,6.69,1.95,0.99,1.15,0.73
2025-12-03,0.49,2.87,2.39,4.9,2.15,0.89,0.97,0.73
2025-12-04,0.46,2.7,2.41,3.24,1.73,0.63,1.09,0.6
2025-12-05,0.46,3.27,2.37,2.61,1.85,1.23,0.81,0.66
2025-12-08,0.44,2.01,1.97,5.4,1.72,1.19,0.87,0.62
2025-12-09,0.38,2.43,1.58,3.73,2.18,0.88,1.1,0.65
2025-12-10,0.54,6.55,3.59,3.1,1.82,0.86,1.67,0.86
2025-12-11,0.48,5.62,2.47,2.63,1.81,0.7,1.59,1.48
2025-12-12,0.61,3.45,1.93,5.65,1.24,1.21,1.28,2.71
2025-12-15,0.48,2.64,1.63,9.96,1.39,1.48,0.82,1.67
2025-12-16,0.33,2.85,2.17,11.27,1.54,1.34,1.05,0.95
2025-12-17,0.36,2.05,2.13,6.75,1.97,0.95,0.97,0.91
2025-12-18,0.41,1.81,1.79,3.23,1.14,0.74,0.82,0.72
2025-12-19,0.33,1.71,1.71,3.86,1.47,0.72,1.17,0.79
2025-12-22,0.38,1.6,1.54,3.29,1.28,0.79,0.79,0.71
2025-12-23,0.34,2.13,1.96,2.63,1.55,0.88,0.86,0.7
2025-12-24,0.26,1.19,2.32,2.77,1.18,1.03,0.71,0.76
2025-12-25,0.28,1.12,1.89,3.14,1.02,0.68,0.69,0.56
2025-12-26,0.22,1.28,2.71,2.83,1.29,1.12,0.83,0.68
2025-12-29,0.33,1.24,2.66,2.13,1.52,0.96,0.8,0.66
2025-12-30,0.3,1.56,2.26,2.98,1.63,0.86,0.83,0.75
2025-12-31,0.3,1.11,2.0,2.33,1.26,0.69,1.03,0.52
