,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,971758.5043228713
Total Return [%],-2.8241495677128676
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000095
Total Fees Paid,0.0
Max Drawdown [%],22.94184311252474
Max Drawdown Duration,189 days 00:00:00
Total Trades,49874
Total Closed Trades,49614
Total Open Trades,260
Open Trade PnL,9879.634450215319
Win Rate [%],67.4809529568267
Best Trade [%],232.40514075887398
Worst Trade [%],-32.008414426600375
Avg Winning Trade [%],8.168281545563884
Avg Losing Trade [%],-3.7050129967144567
Avg Winning Trade Duration,5 days 00:14:19.354838709
Avg Losing Trade Duration,4 days 11:23:21.919819311
Profit Factor,0.9741982054116605
Expectancy,-1.1326760919503442
Sharpe Ratio,0.017612608158241397
Calmar Ratio,-0.12512795160198864
Omega Ratio,1.0025765972785243
Sortino Ratio,0.0225035022962684
