,IC,RankIC,RR
20241101,,,0.0
20241104,,,0.0
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,0.0
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,0.03413021723778935,-0.08543120858029174,0.005198001673468195
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.18745799061005128,-0.19355412569903344,-0.023292843598247286
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.03862890000432896,-0.08460211292019158,0.0050315813444305
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.05889683307536117,-0.08204593265373515,-0.007909640817251599
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.24152317406908455,-0.27642407776734645,-0.03177506558393662
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.0037288874104846074,-0.04687439492314386,0.002866767791583623
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.028907772492935142,-0.014127678413735674,-0.009103056787643893
20241231,,,
20250102,,,
20250103,,,
20250106,-0.19551291329933462,-0.2336252762973493,-0.017142606480774647
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.13305390158926583,-0.12570375337373194,-0.010302968787255902
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.03264089545497706,-0.008878865702180263,0.002506350655945686
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.0953996584192782,-0.14266306722288952,-0.0004617844672912374
20250205,-0.028900349549536342,-0.12977268195067854,-0.0099584942394636
20250206,,,
20250207,,,
20250210,0.055965352029539,0.10894334728436214,0.003938295706180789
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,-0.0514258187647546,-0.12023015305039751,-0.009587596213899294
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.020889326478860406,-0.037983122145720714,0.0004059358529394843
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.08210007529656382,-0.13722918708417842,-0.010094318801225972
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.03951742952748712,-0.09037577109671366,0.0007134154212023562
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.1470246792833575,0.1929116119210651,0.02332632245136484
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.0778216043642092,-0.050114516378863244,-0.0037940616560110767
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.09039308496173372,0.08277863441573059,0.01386013945288514
20250401,,,
20250402,,,
20250403,,,
20250407,0.15978529372038605,0.22383450102773508,0.016931393430466624
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,-0.005372122629212204,-0.08970134590705109,0.0005281477914330038
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,-0.09355269024923116,-0.1287714314084786,-0.012083264076921178
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.17577160926513782,-0.19731081235452377,-0.01691991184740849
20250429,,,
20250430,,,
20250506,0.028576509595922107,0.041519298170418995,-0.0016249200335323247
20250507,,,
20250508,,,
20250509,,,
20250512,-0.06452944085000244,-0.16585540882538943,-0.005213357448786527
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,0.019997408534765195,-0.016010002503725303,0.0023393871846511035
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,0.08886303530523185,0.04336347204635724,0.013243733300468798
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,-0.08643037192603721,-0.1831529055825556,-0.011242844127331156
20250604,,,
20250605,,,
20250606,,,
20250609,0.01573166004770182,0.05036008762395338,0.001660354382446702
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,0.044430345158066584,-0.02250622040418061,0.005774687950550609
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,-0.07536872097732583,-0.14270268480592993,-0.006009801697517844
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,-0.03974161645761173,-0.1034916915006621,0.002654014186472691
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,-0.02490660167857636,-0.05050641863705401,-0.0070681945237680045
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,0.010682991229726413,0.0220830536050986,-0.0026186667185203894
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,0.056193175852549085,0.06517280932501181,0.002650789309549229
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,0.023705310747583863,-0.002428528681117011,0.0005518972028109937
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,-0.06328570810012925,-0.13740317715455597,-0.0037630604775788674
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,-0.040500015570814986,-0.11330358275732218,-0.007055396906327449
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,0.014906086120568532,0.0029133920263458286,0.0006246223077151572
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,0.0698732565970512,0.08485255776793593,0.005982423745720425
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,0.0073057670331903935,0.027894084168449632,-0.002368989244661691
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,0.055981012517709136,-0.034499840251567784,0.008540788574484722
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,0.004144843461713614,-0.049448417896768876,-0.002218855319502999
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,-0.1406487186069051,-0.14407738806298673,-0.015802791672607033
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.033968336966022056,-0.016174668861470985,0.004948175218243445
20250930,,,
20251009,0.12510480006237662,0.12068921982224887,0.008672575712156076
20251010,,,
20251013,0.043400869435246826,0.04378682232019015,0.008193197580531263
20251014,,,
20251015,,,
20251016,,,
20251017,,,
20251020,-0.16808595753146383,-0.23001424326985512,-0.011924332224441756
20251021,,,
20251022,,,
20251023,,,
20251024,,,
20251027,-0.06511163428777024,-0.06384043048844334,-0.004633810294451337
20251028,,,
20251029,,,
20251030,,,
20251031,,,
20251103,0.010603722890381131,-0.0017883095169169971,0.0031515066352452645
20251104,,,
20251105,,,
20251106,,,
20251107,,,
20251110,0.020306906300933403,0.05029350400763519,0.001058514370422415
20251111,,,
20251112,,,
20251113,,,
20251114,,,
20251117,-0.09680090262233931,-0.11372139253300696,-0.009129891336393268
20251118,,,
20251119,,,
20251120,,,
20251121,,,
20251124,-0.14236395171974672,-0.1610679967089738,-0.010563110440837357
20251125,,,
20251126,,,
20251127,,,
20251128,,,
20251201,0.05730197449749198,0.026069309256363627,0.0050160176122512395
20251202,,,
20251203,,,
20251204,,,
20251205,,,
20251208,0.032035853123482436,-0.00829605612336213,-0.000711391197785332
20251209,,,
20251210,,,
20251211,,,
20251212,,,
20251215,-0.14277952983010828,-0.2063685694522825,-0.017297194329115778
20251216,,,
20251217,,,
20251218,,,
20251219,,,
20251222,-0.09940069879863687,-0.1516802854690408,-0.00962850715853032
20251223,,,
20251224,,,
20251225,,,
20251226,,,
20251229,-0.06285831464342197,-0.13652296805700279,-0.007227158534412982
20251230,,,
20251231,,,
20260105,0.07920496427311603,0.03063400271101509,0.005223690774568801
20260106,,,
20260107,,,
20260108,,,
20260109,,,
20260112,-0.01453376286031367,-0.004445396976471424,0.003743495051828763
20260113,,,
20260114,,,
20260115,,,
20260116,,,
20260119,0.08025915835057543,0.10881757503825958,0.0027935234726209103
20260120,,,
20260121,,,
20260122,,,
20260123,,,
20260126,-3.031082089669112e-05,-0.0239644297117674,-0.0015484129030908789
20260127,,,
20260128,,,
20260129,,,
20260130,,,
20260202,-0.06754671990978163,-0.10966058109740713,-0.010020984736942806
20260203,,,
20260204,,,
20260205,,,
20260206,,,
20260209,-0.10378722570480751,-0.12456180972909509,-0.011113669294559054
20260210,,,
20260211,,,
20260212,,,
20260213,,,
20260224,0.14995170502500357,0.13623739193843318,0.02050935802664429
20260225,,,
20260226,,,
20260227,,,
20260302,0.05768164443759017,0.08676081150500582,0.003256828819517431
20260303,,,
20260304,,,
20260305,,,
20260306,,,
20260309,-0.03164149437327772,-0.05224937185729894,-0.009655554106441843
20260310,,,
20260311,,,
20260312,,,
20260313,,,
20260316,0.06335897527239695,0.01152986949390391,0.00812325132323835
20260317,,,
20260318,,,
20260319,,,
20260320,,,
20260323,-0.1649957560672998,-0.1694190418782881,-0.016871486081740154
20260324,,,
20260325,,,
20260326,,,
20260327,,,
20260330,0.012617072081801507,-0.020779942249287402,-0.0010427617014899838
20260331,,,
20260401,,,
20260402,,,
20260403,,,
20260407,-0.24049441894410634,-0.2151143806050594,-0.02500794513631992
20260408,,,
20260409,,,
20260410,,,
20260413,0.05157729667934958,0.043012314912324594,0.004861507189765746
20260414,,,
20260415,,,
20260416,,,
20260417,,,
20260420,,,
20260421,,,
20260422,,,
20260423,,,
20260424,,,
