,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,772159.5383706153
Total Return [%],-22.784046162938466
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000026
Total Fees Paid,0.0
Max Drawdown [%],30.642441075349264
Max Drawdown Duration,352 days 00:00:00
Total Trades,43320
Total Closed Trades,43060
Total Open Trades,260
Open Trade PnL,-19719.381820811675
Win Rate [%],60.34370645610776
Best Trade [%],144.72225933052005
Worst Trade [%],-39.64984781090799
Avg Winning Trade [%],10.727894518325355
Avg Losing Trade [%],-6.649727116826215
Avg Winning Trade Duration,80 days 03:45:03.325123153
Avg Losing Trade Duration,103 days 11:55:59.451380342
Profit Factor,0.6100251853838472
Expectancy,-4.844177630219096
Sharpe Ratio,-0.8723031587130947
Calmar Ratio,-0.7544114257398153
Omega Ratio,0.8823475726386452
Sortino Ratio,-1.0808168710007342
