stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,window_type,effective_date
000625.SZ,2025-04-30 00:00:00,9,-0.8107330202180925,2.2394899675452766,79.82297703410205,-8.79047049146536,3.2986292373950152,-5.978227335860003,3.240368576382063,cutoff_date,2025-06-16 00:00:00
300953.SZ,2025-04-30 00:00:00,9,-1.3589805489055622,4.912589881273303,58.47700245230679,-6.136848592001982,2.1250531859800916,-3.5201212139462736,1.6896084408222445,cutoff_date,2025-06-16 00:00:00
688116.SH,2025-04-30 00:00:00,11,1.6621415957832053,-5.216186865332189,46.07915627406023,11.905314843511803,2.843865813944654,-4.663085442666283,1.874498544188001,cutoff_date,2025-06-16 00:00:00
300618.SZ,2025-04-30 00:00:00,9,-0.4542520015910868,4.330186536354373,47.49653449369828,-32.01488510394666,2.612824975949373,-3.7564668173629467,3.487070147940969,cutoff_date,2025-06-16 00:00:00
300035.SZ,2025-04-30 00:00:00,8,1.5254767910876021,1.767426042507402,70.86078245020936,151.0900598726817,3.8808564452385825,-6.78075187842599,3.1994282617623613,cutoff_date,2025-06-16 00:00:00
000625.SZ,2025-06-16 00:00:00,11,0.19086775311440163,-2.4141882220358264,51.146446816646865,46.85288197826892,5.606522264739398,-4.256184256153907,2.552307777552582,effective_date,2025-06-16 00:00:00
300953.SZ,2025-06-16 00:00:00,11,0.8776445143966615,-8.441330383095902,71.25960461408448,-80.3126680235051,7.412273394692282,-7.593339329412304,3.4311279429420902,effective_date,2025-06-16 00:00:00
688116.SH,2025-06-16 00:00:00,8,-1.7547115838834948,-16.158463891944916,53.43257499359184,21.75300735999206,4.880313695937609,-2.742883477554318,3.036721476828891,effective_date,2025-06-16 00:00:00
300618.SZ,2025-06-16 00:00:00,8,0.2183871347542426,-2.305621586532717,79.4887924353385,59.37989093225892,7.293288821002442,-3.882754213488587,2.84342272574834,effective_date,2025-06-16 00:00:00
300035.SZ,2025-06-16 00:00:00,10,-0.8382645411046161,-5.745328018835654,64.87523395764671,105.6024981884865,5.086956884169658,-3.4186512141030976,1.6188106287433366,effective_date,2025-06-16 00:00:00
688612.SH,2024-10-31 00:00:00,10,-0.43796493428622874,13.696551885542927,74.0606473270999,73.37086904107181,5.607375476354398,-7.4346721736807915,3.145361387738571,cutoff_date,2024-12-16 00:00:00
688612.SH,2024-12-16 00:00:00,9,4.075617282673008,14.068500794983699,79.6914550716659,-33.557694819437515,3.4522053934580947,-7.626633960940018,3.4155682688108215,effective_date,2024-12-16 00:00:00
601238.SH,2024-04-30 00:00:00,10,0.256144301355225,3.592673850133728,50.76149394613946,64.06878439590305,4.390866629242053,-4.577581416252277,2.3510127396758325,cutoff_date,2024-06-17 00:00:00
301487.SZ,2024-04-30 00:00:00,11,1.8322942179390636,-9.372513593160967,47.834411348117904,-3.1045774900521543,5.108479094923563,-5.16708399645451,2.70779920272591,cutoff_date,2024-06-17 00:00:00
301511.SZ,2024-04-30 00:00:00,8,2.372972606716006,6.032686595561072,74.7816487220726,49.12279679327496,2.5821047841677407,-5.362668779188332,1.6884669888927597,cutoff_date,2024-06-17 00:00:00
601238.SH,2024-06-17 00:00:00,8,2.667049412637904,-6.7033030788046855,65.95304787329086,64.06022690318721,3.11781764408952,-5.659221008877555,3.7942760522095655,effective_date,2024-06-17 00:00:00
301487.SZ,2024-06-17 00:00:00,8,2.108695721990563,1.5648597875746744,62.59188063320081,83.47376397222136,2.671369790195641,-6.684642238564075,3.0624447006337645,effective_date,2024-06-17 00:00:00
301511.SZ,2024-06-17 00:00:00,10,0.029671855597525942,14.486071529367665,64.23562345624134,-20.146783986775944,3.494936495122748,-6.097636063165613,1.5451900097325018,effective_date,2024-06-17 00:00:00
