情绪温度走势,过冷,冰点,过热,沸点,时间区间
34.21969558041445,20,10,80,90,20251226
36.57865786578658,20,10,80,90,20251229
33.724340175953074,20,10,80,90,20251230
45.3362653472604,20,10,80,90,20251231
76.69048927982408,20,10,80,90,20260105
75.25187763326616,20,10,80,90,20260106
39.798534798534796,20,10,80,90,20260107
68.3458508884411,20,10,80,90,20260108
71.80802344751787,20,10,80,90,20260109
75.91133907309032,20,10,80,90,20260112
29.7505502567865,20,10,80,90,20260113
50.36670333700036,20,10,80,90,20260114
40.864944108484515,20,10,80,90,20260115
43.42490842490842,20,10,80,90,20260116
64.58524079838858,20,10,80,90,20260119
40.85254299304793,20,10,80,90,20260120
56.66178623718887,20,10,80,90,20260121
65.44090742773508,20,10,80,90,20260122
72.08706786171575,20,10,80,90,20260123
29.361156873512723,20,10,80,90,20260126
35.291964122277136,20,10,80,90,20260127
31.82650073206442,20,10,80,90,20260128
32.99176578225069,20,10,80,90,20260129
44.910289271329184,20,10,80,90,20260130
14.110541727672036,20,10,80,90,20260202
88.85635864592864,20,10,80,90,20260203
59.509875640087785,20,10,80,90,20260204
29.595756356319736,20,10,80,90,20260205
50.292718624222466,20,10,80,90,20260206
84.39158279963404,20,10,80,90,20260209
40.12797074954296,20,10,80,90,20260210
37.47714808043875,20,10,80,90,20260211
38.495252008765526,20,10,80,90,20260212
28.13299232736573,20,10,80,90,20260213
73.1823164048228,20,10,80,90,20260224
68.50667154085176,20,10,80,90,20260225
45.42131237433741,20,10,80,90,20260226
59.7879729482727,20,10,80,90,20260227
20.87751371115174,20,10,80,90,20260302
11.750730994152047,20,10,80,90,20260303
31.877968578735842,20,10,80,90,20260304
74.48867786705624,20,10,80,90,20260305
77.77980646339236,20,10,80,90,20260306
25.96241561758803,20,10,80,90,20260309
82.78883007848148,20,10,80,90,20260310
37.57752645020066,20,10,80,90,20260311
27.25282743524261,20,10,80,90,20260312
27.403758438241198,20,10,80,90,20260313
51.87956204379562,20,10,80,90,20260316
15.826944140197153,20,10,80,90,20260317
64.8658514327432,20,10,80,90,20260318
9.217010403358277,20,10,80,90,20260319
12.078087940156907,20,10,80,90,20260320
5.562648185300018,20,10,80,90,20260323
93.70552818828682,20,10,80,90,20260324
88.90915724188253,20,10,80,90,20260325
16.7122787812443,20,10,80,90,20260326
79.17123037604965,20,10,80,90,20260327
52.373995617238855,20,10,80,90,20260330
18.44217438890916,20,10,80,90,20260331
69.58340913225396,20,10,80,90,20260401
