datetime,_root__momentum_factor,_root__risk_adjusted_momentum
2025-06-03,,
2025-06-04,,
2025-06-05,,
2025-06-06,,
2025-06-09,,
2025-06-10,,
2025-06-11,,
2025-06-12,,
2025-06-13,,
2025-06-16,,
2025-06-17,,
2025-06-18,,
2025-06-19,,
2025-06-20,,
2025-06-23,,
2025-06-24,,
2025-06-25,,
2025-06-26,,
2025-06-27,,
2025-06-30,,
2025-07-01,0.18706317383337515,0.1863748351548221
2025-07-02,0.2253880207311084,0.18562965071551754
2025-07-03,0.19245681564228898,0.16343968092769504
2025-07-04,0.1928028470960307,0.1740485234794531
2025-07-07,0.08710475144558727,0.052815352550098595
2025-07-08,0.08255434652292784,0.07274623683460006
2025-07-09,0.11236359066511481,0.10431537342697964
2025-07-10,-0.11978018296887007,-0.14870365090802107
2025-07-11,-0.047616752428752955,-0.06441554861062322
2025-07-14,0.10711179457373027,0.08674325165853755
2025-07-15,-0.018802209282040936,-0.007426979760769218
2025-07-16,0.09963449342088523,0.07984597528741989
2025-07-17,0.0319234656210549,0.08872636728754647
2025-07-18,0.12174077130373798,0.16616646168042726
2025-07-21,0.3171234976353096,0.2595423121914965
2025-07-22,0.11138161693716543,-0.00727709849196803
2025-07-23,0.26170779778356473,0.17633058405779573
2025-07-24,0.018954094238966265,-0.07586473819270069
2025-07-25,0.198037525883486,0.11963756300208268
2025-07-28,0.16789331434128013,0.058161623541769895
2025-07-29,-0.3133354830785228,-0.3300012589030186
2025-07-30,-0.2939972317420804,-0.2826917111042451
2025-07-31,-0.28704658289004475,-0.2834598179318576
2025-08-01,-0.1290301582476958,-0.12878545136870762
2025-08-04,0.08639238608731123,0.06141706214061881
2025-08-05,0.2471854374212662,0.20566400349234215
2025-08-06,0.25339040688905545,0.2100434154310622
2025-08-07,0.1711308017481607,0.13679245177148894
2025-08-08,0.12606822642864646,0.1242026535942919
2025-08-11,0.2344859630586457,0.2582126618880054
2025-08-12,0.2071936799008479,0.20544543483796862
2025-08-13,0.16415570901522136,0.21206159891253773
2025-08-14,0.13297745522573912,0.1866415775025881
2025-08-15,0.09134634708930058,0.1228863372722182
2025-08-18,0.20872029473095377,0.21521787877200774
2025-08-19,0.23299896500512277,0.2562899332114622
2025-08-20,0.2878328258058374,0.277343076175966
2025-08-21,0.4190238901332135,0.40530986958766363
2025-08-22,0.2684958436250351,0.2202779084956478
2025-08-25,0.3892731265006529,0.3053409172809602
