datetime,benchmark,score_ml
2025-06-03,0.0,
2025-06-04,0.0043432713,
2025-06-05,0.0022797585,
2025-06-06,-0.00092321634,
2025-06-09,0.0029091835,
2025-06-10,-0.0050911307,
2025-06-11,0.007543683,
2025-06-12,-0.0006239414,
2025-06-13,-0.0071989894,
2025-06-16,0.0024895668,
2025-06-17,-0.000882864,
2025-06-18,0.001185894,
2025-06-19,-0.0082271695,
2025-06-20,0.0009237528,
2025-06-23,0.002927184,
2025-06-24,0.011957288,
2025-06-25,0.014354348,
2025-06-26,-0.0035479069,
2025-06-27,-0.006147921,
2025-06-30,0.0036514997,
2025-07-01,0.0016970634,
2025-07-02,0.00023329258,
2025-07-03,0.006184578,
2025-07-04,0.00356102,
2025-07-07,-0.004276514,
2025-07-08,0.008393168,
2025-07-09,-0.0017632246,
2025-07-10,0.004664898,
2025-07-11,0.0011945963,
2025-07-14,0.0007123947,
2025-07-15,0.00034594536,
2025-07-16,-0.0029509664,
2025-07-17,0.0068101883,
2025-07-18,0.005963564,
2025-07-21,0.006667495,
2025-07-22,0.008162856,
2025-07-23,0.00019657612,
2025-07-24,0.0071048737,
2025-07-25,-0.0052734613,
2025-07-28,0.0020982027,
2025-07-29,0.003916979,
2025-07-30,-0.00018793344,
2025-07-31,-0.018223405,
2025-08-01,-0.005069196,
2025-08-04,0.0038890839,
2025-08-05,0.0080451965,
2025-08-06,0.0024467707,
2025-08-07,0.00028681755,
2025-08-08,-0.002357483,
2025-08-11,0.0042728186,
2025-08-12,0.0051715374,
2025-08-13,0.0079033375,
2025-08-14,-0.0007829666,
2025-08-15,0.0069584846,
2025-08-18,0.008818865,
2025-08-19,-0.003783524,
2025-08-20,0.011372447,
2025-08-21,0.0039026737,
2025-08-22,0.020972133,
2025-08-25,0.020835996,
2025-08-26,-0.0037209988,
2025-08-27,-0.014926076,
2025-08-28,0.017703533,
2025-08-29,0.0073883533,
2025-09-01,0.005993247,
2025-09-02,-0.0073522925,
2025-09-03,-0.00681901,
2025-09-04,-0.021216035,
2025-09-05,0.02178824,
2025-09-08,0.0016254187,
2025-09-09,-0.007008195,
2025-09-10,0.0020512342,
2025-09-11,0.023095965,
2025-09-12,-0.005723357,
2025-09-15,0.002445817,
2025-09-16,-0.0021442175,
2025-09-17,0.0061192513,
2025-09-18,-0.011625946,
2025-09-19,0.000846982,
2025-09-22,0.0045958757,
2025-09-23,-0.00062572956,
2025-09-24,0.010241628,
2025-09-25,0.006005168,
2025-09-26,-0.009456813,
2025-09-29,0.015384436,
2025-09-30,0.0044674873,
2025-10-09,0.014823198,
2025-10-10,-0.01967305,
2025-10-13,-0.0049492717,
2025-10-14,-0.011954844,
2025-10-15,0.014811516,
2025-10-16,0.0026333332,
2025-10-17,-0.022559702,
2025-10-20,0.00531435,
2025-10-21,0.015347362,
2025-10-22,-0.003320396,
2025-10-23,0.0029982328,
2025-10-24,0.011796832,
2025-10-27,0.011873841,
2025-10-28,-0.005099654,
2025-10-29,0.0119075775,
2025-10-30,-0.00798893,
2025-10-31,-0.014700949,
2025-11-03,0.0027432442,0.010811586109878313
2025-11-04,-0.0074569583,0.010811586109878313
2025-11-05,0.0018533468,0.010811586109878313
2025-11-06,0.014293551,0.010811586109878313
2025-11-07,-0.0031129122,0.010811586109878313
2025-11-10,0.0034753084,-0.005116651518722426
2025-11-11,-0.009133041,-0.005116651518722426
2025-11-12,-0.0013455749,-0.005116651518722426
2025-11-13,0.01208806,-0.005116651518722426
2025-11-14,-0.015722811,-0.005116651518722426
2025-11-17,-0.006501496,-0.019211850677890774
2025-11-18,-0.006494105,-0.019211850677890774
2025-11-19,0.004400015,-0.019211850677890774
2025-11-20,-0.005086899,-0.019211850677890774
2025-11-21,-0.024390101,-0.019211850677890774
2025-11-24,-0.0012484789,0.005736478176608051
2025-11-25,0.009521008,0.005736478176608051
2025-11-26,0.0060640574,0.005736478176608051
2025-11-27,-0.00049358606,0.005736478176608051
2025-11-28,0.00249362,0.005736478176608051
2025-12-01,0.011008143,0.000956874827211962
2025-12-02,-0.004842043,0.000956874827211962
2025-12-03,-0.0051116347,0.000956874827211962
2025-12-04,0.0034252405,0.000956874827211962
2025-12-05,0.008351326,0.000956874827211962
2025-12-08,0.0081163645,-0.002837653646307947
2025-12-09,-0.0050911307,-0.002837653646307947
2025-12-10,-0.0013896227,-0.002837653646307947
2025-12-11,-0.008634865,-0.002837653646307947
2025-12-12,0.0063199997,-0.002837653646307947
2025-12-15,-0.0063064694,0.004367793624295402
2025-12-16,-0.011974812,0.004367793624295402
2025-12-17,0.01830554,0.004367793624295402
2025-12-18,-0.0059150457,0.004367793624295402
2025-12-19,0.0033804178,0.004367793624295402
2025-12-22,0.009509206,0.0051787255363271445
2025-12-23,0.0019755363,0.0051787255363271445
2025-12-24,0.0028847456,0.0051787255363271445
2025-12-25,0.0018299818,0.0051787255363271445
2025-12-26,0.003166318,0.0051787255363271445
2025-12-29,-0.0038371086,0.0
2025-12-30,0.002567172,0.0
2025-12-31,-0.004588008,0.0
