,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1263649.9252997003
Total Return [%],26.36499252997004
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000153
Total Fees Paid,0.0
Max Drawdown [%],17.597600350839652
Max Drawdown Duration,68 days 00:00:00
Total Trades,43941
Total Closed Trades,43681
Total Open Trades,260
Open Trade PnL,-18932.67085118437
Win Rate [%],47.22877223506788
Best Trade [%],68.85206849037333
Worst Trade [%],-42.09518043235862
Avg Winning Trade [%],3.6192595162074253
Avg Losing Trade [%],-4.6195705670617375
Avg Winning Trade Duration,5 days 15:13:50.285991274
Avg Losing Trade Duration,11 days 02:39:05.855194123
Profit Factor,1.3629897678488008
Expectancy,6.329755150460759
Sharpe Ratio,1.0873377268932984
Calmar Ratio,1.5263538764754778
Omega Ratio,1.1720363569011223
Sortino Ratio,1.435094792235275
