date,instrument,weight,entry_date,entry_price,holding_days,highest_close_since_entry,unrealized_return
2025-01-27,SZ300493,0.05,2025-01-27,12.118301391601562,0,12.118301391601562,0.0
2025-01-27,SZ000880,0.05,2025-01-27,4.565241813659668,0,4.565241813659668,0.0
2025-01-27,SZ300403,0.05,2025-01-27,2.6678662300109863,0,2.6678662300109863,0.0
2025-01-27,SZ002553,0.05,2025-01-27,2.7440381050109863,0,2.7440381050109863,0.0
2025-01-27,SZ300153,0.05,2025-01-27,1.7770966291427612,0,1.7770966291427612,0.0
2025-01-27,SH603319,0.05,2025-01-27,4.267596244812012,0,4.267596244812012,0.0
2025-01-27,SZ300539,0.05,2025-01-27,3.0874006748199463,0,3.0874006748199463,0.0
2025-01-27,SZ301248,0.05,2025-01-27,0.713918149471283,0,0.713918149471283,0.0
2025-01-27,SH603045,0.05,2025-01-27,1.5748201608657837,0,1.5748201608657837,0.0
2025-01-27,SZ002843,0.05,2025-01-27,4.8687214851379395,0,4.8687214851379395,0.0
2025-01-27,SZ300421,0.05,2025-01-27,2.5467679500579834,0,2.5467679500579834,0.0
2025-01-27,SZ002779,0.05,2025-01-27,7.731651306152344,0,7.731651306152344,0.0
2025-01-27,SH688577,0.05,2025-01-27,1.0472774505615234,0,1.0472774505615234,0.0
2025-01-27,SZ300491,0.05,2025-01-27,2.1199469566345215,0,2.1199469566345215,0.0
2025-01-27,SH688226,0.05,2025-01-27,1.5595800876617432,0,1.5595800876617432,0.0
2025-01-27,SZ300577,0.05,2025-01-27,3.048581600189209,0,3.048581600189209,0.0
2025-01-27,SZ002729,0.05,2025-01-27,2.4317386150360107,0,2.4317386150360107,0.0
2025-01-27,SZ002718,0.05,2025-01-27,1.137546420097351,0,1.137546420097351,0.0
2025-01-27,SZ300680,0.05,2025-01-27,5.734399795532227,0,5.734399795532227,0.0
2025-01-27,SZ300354,0.05,2025-01-27,4.692609786987305,0,4.692609786987305,0.0
2025-02-05,SZ300403,0.05,2025-01-27,2.6678662300109863,1,2.711406946182251,0.01632042704445702
2025-02-05,SZ002553,0.05,2025-01-27,2.7440381050109863,1,2.804054021835327,0.021871386084159505
2025-02-05,SH603045,0.05,2025-01-27,1.5748201608657837,1,1.5820144414901733,0.0045683188488230275
2025-02-05,SZ300421,0.05,2025-01-27,2.5467679500579834,1,2.5855512619018555,0.015228443503456646
2025-02-05,SZ002779,0.05,2025-01-27,7.731651306152344,1,7.94552755355835,0.027662427977813264
2025-02-05,SH688577,0.05,2025-01-27,1.0472774505615234,1,1.062112808227539,0.014165642216454888
2025-02-05,SH688226,0.05,2025-01-27,1.5595800876617432,1,1.5595800876617432,-0.032985530669266794
2025-02-05,SZ002729,0.05,2025-01-27,2.4317386150360107,1,2.4317386150360107,-0.007917484970514588
2025-02-05,SZ002718,0.05,2025-01-27,1.137546420097351,1,1.137546420097351,-0.013507564267428274
2025-02-05,SZ300354,0.05,2025-01-27,4.692609786987305,1,4.816137313842773,0.026323843759183507
2025-02-05,SZ301248,0.05,2025-02-05,0.6795321702957153,0,0.6795321702957153,0.0
2025-02-05,SZ002862,0.05,2025-02-05,3.3495025634765625,0,3.3495025634765625,0.0
2025-02-05,SZ300984,0.05,2025-02-05,1.737704873085022,0,1.737704873085022,0.0
2025-02-05,SZ002892,0.05,2025-02-05,4.7378411293029785,0,4.7378411293029785,0.0
2025-02-05,SZ300608,0.05,2025-02-05,2.1787710189819336,0,2.1787710189819336,0.0
2025-02-05,SZ002488,0.05,2025-02-05,2.679133892059326,0,2.679133892059326,0.0
2025-02-05,SZ003041,0.05,2025-02-05,1.591435194015503,0,1.591435194015503,0.0
2025-02-05,SZ300412,0.05,2025-02-05,2.1889684200286865,0,2.1889684200286865,0.0
2025-02-05,SH603598,0.05,2025-02-05,3.911282539367676,0,3.911282539367676,0.0
2025-02-05,SH600191,0.05,2025-02-05,1.5480480194091797,0,1.5480480194091797,0.0
2025-02-06,SZ300403,0.05,2025-01-27,2.6678662300109863,2,3.0518171787261963,0.14391686674396298
2025-02-06,SZ002553,0.05,2025-01-27,2.7440381050109863,2,2.951510429382324,0.0756083977086417
2025-02-06,SH603045,0.05,2025-01-27,1.5748201608657837,2,1.6021583080291748,0.01735953592844619
2025-02-06,SZ300421,0.05,2025-01-27,2.5467679500579834,2,2.735361099243164,0.07405195639472639
2025-02-06,SH688577,0.05,2025-01-27,1.0472774505615234,2,1.1040104627609253,0.05417190274552652
2025-02-06,SH688226,0.05,2025-01-27,1.5595800876617432,2,1.5595800876617432,-0.018175750490762366
2025-02-06,SZ002729,0.05,2025-01-27,2.4317386150360107,2,2.456242799758911,0.010076816879653672
2025-02-06,SZ002718,0.05,2025-01-27,1.137546420097351,2,1.1799256801605225,0.03725497202966421
2025-02-06,SZ300354,0.05,2025-01-27,4.692609786987305,2,4.975008964538574,0.06017955687139542
2025-02-06,SZ301248,0.05,2025-02-05,0.6795321702957153,1,0.6795321702957153,-0.009982757135596931
2025-02-06,SZ300984,0.05,2025-02-05,1.737704873085022,1,1.8157941102981567,0.04493814710578525
2025-02-06,SZ002892,0.05,2025-02-05,4.7378411293029785,1,5.122578144073486,0.08120513209929214
2025-02-06,SZ300412,0.05,2025-02-05,2.1889684200286865,1,2.218590497970581,0.013532437321094992
2025-02-06,SH600191,0.05,2025-02-05,1.5480480194091797,1,1.609609603881836,0.03976723183054198
2025-02-06,SZ002862,0.05,2025-02-06,3.4322140216827393,0,3.4322140216827393,0.0
2025-02-06,SZ002757,0.05,2025-02-06,2.550187826156616,0,2.550187826156616,0.0
2025-02-06,SZ000856,0.05,2025-02-06,2.5318126678466797,0,2.5318126678466797,0.0
2025-02-06,SH603901,0.05,2025-02-06,1.7110233306884766,0,1.7110233306884766,0.0
2025-02-06,SZ301061,0.05,2025-02-06,2.031456708908081,0,2.031456708908081,0.0
2025-02-06,SZ301280,0.05,2025-02-06,1.3492988348007202,0,1.3492988348007202,0.0
2025-02-07,SZ300403,0.05,2025-01-27,2.6678662300109863,3,3.0518171787261963,0.12179653653733458
2025-02-07,SZ002553,0.05,2025-01-27,2.7440381050109863,3,2.951510429382324,0.06923522046895858
2025-02-07,SH603045,0.05,2025-01-27,1.5748201608657837,3,1.6021583080291748,0.01142072142497641
2025-02-07,SZ300421,0.05,2025-01-27,2.5467679500579834,3,2.735361099243164,0.059420783849793324
