,main_wave_pullback,benchmark,main_wave_nav,benchmark_nav
2026-01-12,0.0,0.0065140724,1.0,1.0065141
2026-01-13,0.0,-0.0060313344,1.0,1.0004435
2026-01-14,0.0,-0.00401175,1.0,0.9964299
2026-01-15,0.0,0.002003312,1.0,0.9984261
2026-01-16,0.0,-0.004116595,1.0,0.994316
2026-01-19,0.0,0.00054740906,1.0,0.9948603
2026-01-20,0.0,-0.0032907724,1.0,0.99158645
2026-01-21,0.0,0.0008878708,1.0,0.99246687
2026-01-22,0.0,0.00013542175,1.0,0.9926013
2026-01-23,0.0,-0.0044900775,1.0,0.9881444
2026-01-26,0.0,0.0009484291,1.0,0.98908156
2026-01-27,0.0,-0.00026983023,1.0,0.98881465
2026-01-28,0.0,0.002613902,1.0,0.9913993
2026-01-29,0.0,0.0076048374,1.0,0.99893874
2026-01-30,0.0,-0.009998143,1.0,0.9889512
2026-02-02,0.0,-0.021324456,1.0,0.96786237
2026-02-03,0.0,0.011752129,1.0,0.9792368
2026-02-04,0.0,0.008276701,1.0,0.98734164
2026-02-05,0.0,-0.006014526,1.0,0.98140323
2026-02-06,0.0,-0.0057424903,1.0,0.97576755
2026-02-09,0.0,0.016250253,1.0,0.991624
2026-02-10,0.0,0.0011103153,1.0,0.992725
2026-02-11,0.0,-0.002218306,1.0,0.99052286
2026-02-12,0.0,0.0012220144,1.0,0.9917333
2026-02-13,0.0,-0.012537181,1.0,0.9792998
2026-02-24,0.0,0.010112882,1.0,0.98920333
2026-02-25,0.0,0.006022215,1.0,0.9951605
2026-02-26,0.0,-0.0019046664,1.0,0.9932651
2026-02-27,0.0,-0.0034313798,1.0,0.98985684
2026-03-02,0.0,0.003825307,1.0,0.99364334
2026-03-03,0.0,-0.015389085,1.0,0.97835207
2026-03-04,0.0,-0.011443555,1.0,0.96715623
2026-03-05,0.0,0.009792328,1.0,0.97662693
2026-03-06,0.0,0.0027433634,1.0,0.97930616
2026-03-09,0.0,-0.009651482,1.0,0.9698544
2026-03-10,0.0,0.012848139,1.0,0.98231524
2026-03-11,0.0,0.006361842,1.0,0.98856455
2026-03-12,0.0,-0.0036008358,1.0,0.9850049
2026-03-13,0.0,-0.0039295554,1.0,0.9811343
2026-03-16,0.0,0.000518322,1.0,0.98164284
2026-03-17,0.0,-0.0073037744,1.0,0.9744731
2026-03-18,0.0,0.0045046806,1.0,0.9788628
2026-03-19,0.0,-0.016117394,1.0,0.9630861
2026-03-20,0.0,-0.0035411716,1.0,0.95967567
2026-03-23,0.0,-0.03262955,1.0,0.9283619
2026-03-24,0.0,0.012838483,1.0,0.9402807
2026-03-25,0.0,0.014023185,1.0,0.9534664
2026-03-26,0.0,-0.013209939,1.0,0.9408712
2026-03-27,0.0,0.005592346,1.0,0.94613284
2026-03-30,0.0,-0.002358675,1.0,0.94390124
2026-03-31,0.0,-0.009327769,1.0,0.93509674
2026-04-01,0.0,0.01708293,1.0,0.9510709
2026-04-02,0.0,-0.010419548,1.0,0.94116116
2026-04-03,0.0,-0.008511066,1.0,0.9331509
2026-04-07,0.0,-3.8325787e-05,1.0,0.9331151
2026-04-08,0.0,0.034891605,1.0,0.965673
2026-04-09,0.0,-0.0063844323,1.0,0.95950776
2026-04-10,0.0,0.015406609,1.0,0.97429055
2026-04-13,0.0,0.0020662546,1.0,0.9763037
2026-04-14,0.0,0.011865735,1.0,0.9878883
2026-04-15,0.0,-0.0034096837,1.0,0.9845199
2026-04-16,0.0,0.010962009,1.0,0.9953122
2026-04-17,0.0,-0.001676321,1.0,0.99364376
2026-04-20,0.0,0.0060842037,1.0,0.9996893
2026-04-21,0.0,0.002219677,1.0,1.0019083
2026-04-22,0.0,0.0066337585,1.0,1.0085547
2026-04-23,0.0,-0.00277102,1.0,1.00576
2026-04-24,0.0,-0.0035434961,1.0,1.0021961
2026-04-27,0.0,0.00033128262,1.0,1.0025281
2026-04-28,0.0,-0.0026703477,1.0,0.999851
2026-04-29,0.0,0.010957837,1.0,1.0108072
2026-04-30,0.0,-0.00063198805,1.0,1.0101683
