signal_date,instrument,trend_rank,pullback_rank,risk_rank,main_wave_score,strong_trend_mask,pullback_shape_count,buy_signal,trade_date,sell_signal,sell_reason
2024-11-01,SH600103,0.9018653690186537,0.6399026763990268,0.2303325223033252,0.6246958637469586,False,0.0,False,2024-11-01,False,
2024-11-01,SH600172,0.46958637469586373,0.9359286293592863,0.2303325223033252,0.56338199513382,False,0.0,False,2024-11-01,False,
2024-11-01,SH600173,0.9886455798864558,0.4582319545823195,0.2303325223033252,0.5819951338199514,False,0.0,False,2024-11-01,False,
2024-11-01,SH600178,0.9261962692619627,0.9894566098945661,0.7291159772911597,0.6433090024330901,False,0.0,False,2024-11-01,False,
2024-11-01,SH600203,0.9764801297648013,0.9943227899432279,0.5831305758313058,0.7119221411192215,False,0.0,False,2024-11-01,False,
2024-11-01,SH600227,0.9894566098945661,0.9610705596107056,0.2303325223033252,0.8086374695863748,False,0.0,False,2024-11-01,False,
2024-11-01,SH600257,0.9643146796431468,0.7112733171127331,0.2303325223033252,0.6849148418491484,False,0.0,False,2024-11-01,False,
2024-11-01,SH600367,0.9375506893755069,0.46634225466342255,0.2303325223033252,0.5626520681265207,False,0.0,False,2024-11-01,False,
2024-11-01,SH600400,0.7518248175182481,0.9407948094079481,0.2303325223033252,0.6925790754257908,False,0.0,False,2024-11-01,False,
2024-11-01,SH600501,0.9399837793998378,0.9740470397404704,0.7639902676399026,0.632116788321168,False,0.0,False,2024-11-01,False,
2024-11-01,SH600505,0.8791565287915653,0.981346309813463,0.7055961070559611,0.6255474452554745,False,0.0,False,2024-11-01,False,
2024-11-01,SH600506,0.6593673965936739,0.7169505271695052,0.2303325223033252,0.5502433090024331,False,0.0,False,2024-11-01,False,
2024-11-01,SH600545,0.9651257096512571,0.6180048661800487,0.2303325223033252,0.6433090024330901,False,0.0,False,2024-11-01,False,
2024-11-01,SH600590,0.8978102189781022,0.8824006488240065,0.2303325223033252,0.7319951338199514,False,0.0,False,2024-11-01,False,
2024-11-01,SH600593,0.9099756690997567,0.5296025952960259,0.2303325223033252,0.5787104622871047,False,0.0,False,2024-11-01,False,
2024-11-01,SH600626,0.6780210867802109,0.7469586374695864,0.2303325223033252,0.5721411192214113,False,0.0,False,2024-11-01,False,
2024-11-01,SH600689,0.7445255474452555,0.6731549067315491,0.2303325223033252,0.5688564476885646,False,0.0,False,2024-11-01,False,
2024-11-01,SH600714,0.9456609894566099,0.7210056772100568,0.46877534468775345,0.609367396593674,False,0.0,False,2024-11-01,False,
2024-11-01,SH600736,0.9237631792376317,0.9245742092457421,0.2303325223033252,0.7626520681265206,False,0.0,False,2024-11-01,False,
2024-11-01,SH600748,0.83779399837794,0.6439578264395782,0.2303325223033252,0.5976885644768856,False,0.0,False,2024-11-01,False,
2024-11-01,SH600753,0.732360097323601,0.8467153284671532,0.2303325223033252,0.6414841849148418,False,0.0,False,2024-11-01,False,
2024-11-01,SH600769,0.9602595296025953,0.9472830494728305,0.49797242497972427,0.7090024330900243,False,0.0,False,2024-11-01,False,
2024-11-01,SH600791,0.9083536090835361,0.7858880778588808,0.2303325223033252,0.69330900243309,False,0.0,False,2024-11-01,False,
2024-11-01,SH600815,0.8183292781832928,0.7680454176804542,0.2303325223033252,0.6447688564476887,False,0.0,False,2024-11-01,False,
2024-11-01,SH600831,0.7899432278994323,0.6626115166261152,0.2303325223033252,0.5845498783454989,False,0.0,False,2024-11-01,False,
2024-11-01,SH600855,0.7055961070559611,0.8856447688564477,0.2303325223033252,0.6469586374695865,False,0.0,False,2024-11-01,False,
2024-11-01,SH600865,0.975669099756691,0.9967558799675588,0.7777777777777778,0.654257907542579,False,0.0,False,2024-11-01,False,
2024-11-01,SH603110,0.7201946472019465,0.9010543390105434,0.2303325223033252,0.660462287104623,False,0.0,False,2024-11-01,False,
2024-11-01,SH603118,0.7761557177615572,0.7453365774533658,0.2303325223033252,0.6155717761557178,False,0.0,False,2024-11-01,False,
2024-11-01,SH603121,0.9691808596918086,0.6017842660178426,0.2303325223033252,0.6378345498783454,False,0.0,False,2024-11-01,False,
2024-11-01,SH603122,1.0,0.797242497972425,0.2303325223033252,0.7396593673965938,False,0.0,False,2024-11-01,False,
2024-11-01,SH603159,0.8969991889699919,0.6261151662611517,0.2303325223033252,0.616301703163017,False,0.0,False,2024-11-01,False,
2024-11-01,SH603232,0.5977291159772912,0.7883211678832117,0.2303325223033252,0.5546228710462288,False,0.0,False,2024-11-01,False,
2024-11-01,SH603316,0.9578264395782644,0.7534468775344688,0.2303325223033252,0.7009732360097324,False,0.0,False,2024-11-01,False,
2024-11-01,SH603320,0.7769667477696675,0.6974858069748581,0.2303325223033252,0.594403892944039,False,0.0,False,2024-11-01,False,
2024-11-01,SH603336,0.9253852392538524,0.6715328467153284,0.2303325223033252,0.6495133819951339,False,0.0,False,2024-11-01,False,
2024-11-01,SH603655,0.8410381184103812,0.8386050283860503,0.5344687753446877,0.5954987834549879,False,0.0,False,2024-11-01,False,
2024-11-01,SH603660,0.8004866180048662,0.9505271695052717,0.2303325223033252,0.7188564476885645,False,0.0,False,2024-11-01,False,
2024-11-01,SH603726,0.8540145985401459,0.7258718572587186,0.5296025952960259,0.5520681265206813,False,0.0,False,2024-11-01,False,
2024-11-01,SH603813,0.9910786699107867,0.9667477696674777,0.2303325223033252,0.8119221411192215,False,0.0,False,2024-11-01,False,
2024-11-01,SH603969,0.7591240875912408,0.6666666666666666,0.2303325223033252,0.5725060827250609,False,0.0,False,2024-11-01,False,
2024-11-01,SH605318,0.7502027575020276,0.67558799675588,0.2303325223033252,0.5725060827250609,False,0.0,False,2024-11-01,False,
2024-11-01,SH688059,0.9367396593673966,0.46877534468775345,0.2303325223033252,0.56338199513382,False,0.0,False,2024-11-01,False,
2024-11-01,SH688170,0.8369829683698297,0.8523925385239254,0.2303325223033252,0.6911192214111922,False,0.0,False,2024-11-01,False,
2024-11-01,SH688290,0.9278183292781833,0.7396593673965937,0.2303325223033252,0.6812652068126521,False,0.0,False,2024-11-01,False,
2024-11-01,SH688325,0.7226277372262774,0.7891321978913219,0.2303325223033252,0.6111922141119223,False,0.0,False,2024-11-01,False,
2024-11-01,SH688359,0.8669910786699108,0.6374695863746959,0.2303325223033252,0.6079075425790754,False,0.0,False,2024-11-01,False,
2024-11-01,SH688448,0.9983779399837794,0.9991889699918897,0.2303325223033252,0.8298053527980536,False,0.0,False,2024-11-01,False,
2024-11-01,SH688530,0.8094079480940795,0.6909975669099757,0.2303325223033252,0.6060827250608273,False,0.0,False,2024-11-01,False,
2024-11-01,SH688535,0.8142741281427412,0.7923763179237632,0.2303325223033252,0.6538929440389295,False,0.0,False,2024-11-01,False,
2024-11-01,SH688603,0.9935117599351176,0.8483373884833739,0.2303325223033252,0.7597323600973237,False,0.0,False,2024-11-01,False,
2024-11-01,SH688611,0.9845904298459043,0.9440389294403893,0.2303325223033252,0.7987834549878345,False,0.0,False,2024-11-01,False,
2024-11-01,SH688662,0.9221411192214112,0.5709651257096513,0.2303325223033252,0.6027980535279805,False,0.0,False,2024-11-01,False,
2024-11-01,SH688679,0.9870235198702352,0.862124898621249,0.2303325223033252,0.7630170316301703,False,0.0,False,2024-11-01,False,
2024-11-01,SH688683,0.9188969991889699,0.5287915652879156,0.2303325223033252,0.582360097323601,False,0.0,False,2024-11-01,False,
2024-11-01,SH688691,0.6958637469586375,0.7128953771289538,0.2303325223033252,0.5648418491484185,False,0.0,False,2024-11-01,False,
2024-11-01,SH688710,0.935117599351176,0.5117599351175993,0.2303325223033252,0.5819951338199513,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000042,0.8905109489051095,0.5182481751824818,0.2303325223033252,0.5648418491484185,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000420,0.8483373884833739,0.6536901865369019,0.2303325223033252,0.6068126520681266,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000551,0.884022708840227,0.9837793998377939,0.6926196269261963,0.6327250608272506,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000565,0.927007299270073,0.8313057583130575,0.5125709651257097,0.6374695863746959,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000572,0.9391727493917275,0.9829683698296837,0.2303325223033252,0.7958637469586375,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000586,0.7842660178426601,0.7785888077858881,0.2303325223033252,0.6341849148418491,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000595,0.8588807785888077,0.9845904298459043,0.8450932684509327,0.5760340632603406,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000609,0.8012976480129764,0.7550689375506894,0.2303325223033252,0.6312652068126521,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000631,0.7777777777777778,0.7761557177615572,0.4931062449310625,0.5513381995133821,False,0.0,False,2024-11-01,False,
2024-11-01,SZ000652,0.7526358475263585,0.6593673965936739,0.2303325223033252,0.566301703163017,False,0.0,False,2024-11-01,False,
