,main_wave_pullback,benchmark,main_wave_nav,benchmark_nav
2026-01-12,-0.030171257043048932,0.0065140724,0.9698287429569511,1.0065141
2026-01-13,0.00017281566311546092,-0.0060313344,0.9699963445542737,1.0004435
2026-01-14,-0.011183193729573748,-0.00401175,0.9591486875161449,0.9964299
2026-01-15,-0.01437053473801816,0.002003312,0.9453652079832696,0.9984261
2026-01-16,0.017845416528283753,-0.004116595,0.9622356438910786,0.994316
2026-01-19,-0.00701647845839295,0.00054740906,0.9554841382238191,0.9948603
2026-01-20,-0.011543426149137097,-0.0032907724,0.9444545776375606,0.99158645
2026-01-21,0.010273594431672334,0.0008878708,0.9541575209273453,0.99246687
2026-01-22,0.044566241062859516,0.00013542175,0.9966807350169338,0.9926013
2026-01-23,-0.02119821900351076,-0.0044900775,0.9755528785194648,0.9881444
2026-01-26,0.009962967729279243,0.0009484291,0.9852722803663596,0.98908156
2026-01-27,-0.012233244247075703,-0.00026983023,0.9732192039107647,0.98881465
2026-01-28,-0.027480005542655624,0.002613902,0.946475134793078,0.9913993
2026-01-29,0.010371360189381656,0.0076048374,0.9562913693263104,0.99893874
2026-01-30,-0.017336888410654012,-0.009998143,0.9397122525682287,0.9889512
2026-02-02,0.03737868049345344,-0.021324456,0.97483745661276,0.96786237
2026-02-03,-0.002762714582255227,0.011752129,0.9721442589560474,0.9792368
2026-02-04,0.027733408915640818,0.008276701,0.9991051332146682,0.98734164
2026-02-05,0.012600816568029827,-0.006014526,1.0116946737304833,0.98140323
2026-02-06,0.032557482292341275,-0.0057424903,1.0446329051557195,0.97576755
2026-02-09,9.318595168206767e-05,0.016250253,1.044730250267145,0.991624
2026-02-10,0.006847219925697495,0.0011103153,1.051883748053753,0.992725
2026-02-11,0.00797589718981479,-0.002218306,1.0602734646838667,0.99052286
2026-02-12,-0.0026344615968998232,0.0012220144,1.057480214958945,0.9917333
2026-02-13,0.029774844724054433,-0.012537181,1.0889665241581075,0.9792998
2026-02-24,0.01642964695449924,0.010112882,1.1068578596952934,0.98920333
2026-02-25,0.03452826600294881,0.006022215,1.1450757423023072,0.9951605
2026-02-26,0.005281603121243302,-0.0019046664,1.1511235779169111,0.9932651
2026-02-27,0.006650443767270186,-0.0034313798,1.1587790605410262,0.98985684
2026-03-02,-0.04216744841843144,0.003825307,1.109916304277304,0.99364334
2026-03-03,0.03273325990694777,-0.015389085,1.1462474831401719,0.97835207
2026-03-04,0.022969220106258195,-0.011443555,1.1725758938766628,0.96715623
2026-03-05,0.016669699455532438,0.009792328,1.192122381616389,0.97662693
2026-03-06,-0.008655509473742128,0.0027433634,1.1818039550484483,0.97930616
2026-03-09,0.029507901859062484,-0.009651482,1.2166765101706698,0.9698544
2026-03-10,0.007908237946301432,0.012848139,1.226298277516775,0.98231524
2026-03-11,0.0021525437015119664,0.006361842,1.2289379381502188,0.98856455
2026-03-12,-0.014448799284370461,-0.0036008358,1.2111812605489383,0.9850049
2026-03-13,0.00024099574231321204,-0.0039295554,1.2114731500759002,0.9811343
2026-03-16,-0.026393583094042675,0.000518322,1.1794980328231701,0.98164284
2026-03-17,0.01464198593155467,-0.0073037744,1.1967682264260635,0.9744731
2026-03-18,-0.03139933851140162,0.0045046806,1.1591904957648218,0.9788628
2026-03-19,-0.03344005818588837,-0.016117394,1.1204270981379174,0.9630861
2026-03-20,-0.033206160666186854,-0.0035411716,1.0832220159024002,0.95967567
2026-03-23,0.0,-0.03262955,1.0832220159024002,0.9283619
2026-03-24,0.01815224798270837,0.012838483,1.1028849305553898,0.9402807
2026-03-25,0.042751883628159695,0.014023185,1.1500353387617448,0.9534664
2026-03-26,-0.02308907369467425,-0.013209939,1.1234820880735952,0.9408712
2026-03-27,-0.005422405643186947,0.005592346,1.1173901124592054,0.94613284
2026-03-30,-0.04085348462224565,-0.002358675,1.071740832682804,0.94390124
2026-03-31,0.024391743296323744,-0.009327769,1.097882459953791,0.93509674
2026-04-01,-0.02101209061989893,0.01708293,1.0748136542152444,0.9510709
2026-04-02,-0.022670841563286224,-0.010419548,1.0504467241504738,0.94116116
2026-04-03,0.0002940858169128574,-0.008511066,1.050755645633469,0.9331509
2026-04-07,0.025881184550629672,-3.8325787e-05,1.0779504464157248,0.9331151
2026-04-08,-0.0023575831139601537,0.034891605,1.0754090886455692,0.965673
2026-04-09,-0.009760723615508832,-0.0063844323,1.0649123177576936,0.95950776
2026-04-10,0.011090314584967727,0.015406609,1.0767225303670334,0.97429055
2026-04-13,0.014602230882252262,0.0020662546,1.0924450813515756,0.9763037
2026-04-14,0.0019815203492140375,0.011865735,1.0946097835106725,0.9878883
2026-04-15,0.028432899946095044,-0.0034096837,1.1257327139652482,0.9845199
2026-04-16,0.04747467725440007,0.010962009,1.1791765112354684,0.9953122
2026-04-17,-0.004813683108852803,-0.001676321,1.1735003291809782,0.99364376
2026-04-20,0.015355743480504204,0.0060842037,1.1915202992101688,0.9996893
2026-04-21,0.015144840524677718,0.002219677,1.209565684123623,1.0019083
2026-04-22,-0.006807400964684673,0.0066337585,1.2013316855186704,1.0085547
2026-04-23,-0.0017555600270534658,-0.00277102,1.1992226756323412,1.00576
2026-04-24,0.022430346208808957,-0.0035434961,1.2261216554282288,1.0021961
2026-04-27,-0.014640429519946003,0.00033128262,1.2081707077490522,1.0025281
2026-04-28,0.01177137946079405,-0.0026703477,1.2223925436033825,0.999851
2026-04-29,-0.006896681935863519,0.010957837,1.2139620910293787,1.0108072
2026-04-30,0.0,-0.00063198805,1.2139620910293787,1.0101683
