,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,886817.1651057213
Total Return [%],-11.318283489427866
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000021
Total Fees Paid,0.0
Max Drawdown [%],25.563821536579905
Max Drawdown Duration,329 days 00:00:00
Total Trades,46073
Total Closed Trades,45813
Total Open Trades,260
Open Trade PnL,17942.739215302085
Win Rate [%],67.39135179970751
Best Trade [%],286.32628756768554
Worst Trade [%],-31.384436645846904
Avg Winning Trade [%],10.365138374116519
Avg Losing Trade [%],-4.240948287290061
Avg Winning Trade Duration,7 days 12:19:38.156377534
Avg Losing Trade Duration,5 days 23:21:25.401163577
Profit Factor,0.8961460968446003
Expectancy,-3.1549045853572224
Sharpe Ratio,-0.32798367443957216
Calmar Ratio,-0.4497033029123304
Omega Ratio,0.9536322626009969
Sortino Ratio,-0.41286859595795417
