generation,factor,expr_key,operation,parents,mutation_op,fitness,hit_rate,uplift,coverage,depth,complexity
1,mwega_g001_0046,shrink_volume_pullback,random_inject,,,0.1651068079369595,0.21864700998767264,0.966480340602157,0.14547550643219206,1,1
1,mwega_g001_0005,"AND(DECAY[10](near_limit_up),WITHOUT[5](long_upper_shadow_high_volume))",template_or_random,,,0.16404868572023934,0.2770578843797572,1.2246725828858018,0.09857082730982487,3,5
1,mwega_g001_0027,volume_down_break,template_or_random,,,0.16065929058835343,0.25835151922108446,1.1419852679712204,0.021801745749995424,1,1
1,mwega_g001_0039,higher_high,template_or_random,,,0.15928725220245255,0.23877223339412929,1.055439401938799,0.23477592548538803,1,1
1,mwega_g001_0017,"AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))",template_or_random,,,0.15664014598267564,0.31430855924459333,1.3893308827320099,0.09612238549234176,4,7
1,mwega_g001_0058,"COUNT_GE[(10, 1)](volume_down_break)",random_inject,,,0.14482311181928914,0.23423557723023192,1.0353861252224805,0.17185572858528372,2,2
1,mwega_g001_0019,long_upper_shadow_high_volume,template_or_random,,,0.1443507717986996,0.25816177103971055,1.141146528456908,0.0424872362618259,1,1
1,mwega_g001_0037,"THEN[(1, 3)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",mutate,"THEN[(2, 10)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",THEN,0.1275738586283616,0.22470160871821485,0.9932433438722851,0.0564202975460684,3,7
1,mwega_g001_0051,volume_price_confirm,template_or_random,,,0.12753343145647836,0.26242671424929903,1.1599987586615852,0.08614562556041502,1,1
1,mwega_g001_0016,"THEN[(2, 10)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",template_or_random,,,0.12679461281679347,0.21743343638964516,0.9611160091876386,0.07931267956154958,3,7
1,mwega_g001_0032,"COUNT_GE[(3, 2)](WITHOUT[60](ANY[20](volume_double)))",crossover+mutate,"COUNT_GE[(3, 2)](THEN[(3, 5)](ANY[3](close_near_high),volume_surge))|restart_big_up",COUNT_GE,0.12638317840704646,0.21123655692447155,0.9337240856643799,0.17764195655754203,4,4
1,mwega_g001_0008,"THEN[(2, 10)](THEN[(3, 5)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",mutate,"THEN[(2, 10)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",THEN,0.12445958510352585,0.2170592664300312,0.9594620743360659,0.06805131114242319,3,7
1,mwega_g001_0028,near_limit_up,template_or_random,,,0.12394399157088243,0.30695172023219597,1.3568116167477282,0.025849543433308326,1,1
1,mwega_g001_0035,big_amount_breakout,template_or_random,,,0.12170423200199272,0.2675182261854552,1.182504651564093,0.060742584222372685,1,1
1,mwega_g001_0010,"AND(volume_down_break,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))",crossover,"AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))|volume_down_break",,0.11415830582406956,0.2952261306532663,1.304981263290601,0.0029132431789485242,4,7
1,mwega_g001_0006,"AND(THEN[(1, 10)](break_60d_high,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout)),ANY[3](close_above_ma20))",crossover,"AND(volume_down_break,ANY[3](close_above_ma20))|THEN[(1, 10)](break_60d_high,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))",,0.11319912609491786,0.2699061823430358,1.1930600791487267,0.01521400991820228,4,8
1,mwega_g001_0012,"THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),big_bull_candle)",template_or_random,,,0.11266131167568456,0.30049610205527993,1.328275996458317,0.020656211685911394,4,6
1,mwega_g001_0023,gap_up_big,mutate,big_bear_candle,event,0.10565157558372124,0.27960084436768373,1.2359131703304116,0.019071495233041157,1,1
1,mwega_g001_0034,"THEN[(1, 10)](break_60d_high,THEN[(1, 5)](close_near_high,volume_breakout))",mutate,"THEN[(1, 10)](break_60d_high,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))",THEN,0.09318944268276098,0.26990128124343626,1.1930384149310886,0.01742456127509287,3,5
1,mwega_g001_0015,"AND(volume_down_break,ANY[3](close_above_ma20))",template_or_random,,,0.08184748427101544,0.2393092105263158,1.0578129895842026,0.017801526158801033,3,4
1,mwega_g001_0013,"COUNT_GE[(3, 2)](THEN[(3, 5)](ANY[3](close_near_high),volume_surge))",template_or_random,,,0.07501010806946129,0.2505505260582334,1.1075027176290388,0.04487346057423097,4,5
1,mwega_g001_0009,"THEN[(1, 10)](break_60d_high,COUNT_GE[(3, 2)](THEN[(3, 5)](ANY[3](close_near_high),volume_surge)))",crossover,"THEN[(1, 10)](break_60d_high,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))|COUNT_GE[(3, 2)](THEN[(3, 5)](ANY[3](close_near_high),volume_surge))",,0.06929080633520654,0.25377544320420226,1.12175774458699,0.02229582593737991,5,7
1,mwega_g001_0024,"THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),THEN[(1, 10)](volume_down_break,THEN[(1, 5)](shrink_volume_pullback,restart_big_up)))",crossover+mutate,"THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),big_bull_candle)|THEN[(1, 10)](limit_up,THEN[(1, 5)](shrink_volume_pullback,restart_big_up))",THEN,0.06724099450893431,0.2966226138032305,1.3111541055832934,0.00249236005636174,4,10
1,mwega_g001_0007,"THEN[(1, 10)](limit_up,THEN[(1, 5)](shrink_volume_pullback,restart_big_up))",template_or_random,,,0.0653766631483917,0.3053061224489796,1.3495376187812944,0.004483320218859224,3,5
1,mwega_g001_0014,"AND(COUNT_GE[(3, 2)](THEN[(3, 5)](ANY[3](close_near_high),volume_surge)),AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))",crossover,"AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))|COUNT_GE[(3, 2)](THEN[(3, 5)](ANY[3](close_near_high),volume_surge))",,0.0577729658948172,0.27839097375521216,1.230565207137629,0.014921221659011474,5,11
1,mwega_g001_0036,"AND(DECAY[10](near_limit_up),volume_price_confirm)",crossover,"AND(DECAY[10](near_limit_up),WITHOUT[5](long_upper_shadow_high_volume))|volume_price_confirm",,0.05727766116586512,0.2715841472998765,1.2004771489869894,0.03259831280765641,3,4
1,mwega_g001_0030,"THEN[(1, 2)](limit_up,THEN[(1, 5)](shrink_volume_pullback,restart_big_up))",crossover+mutate,"big_up|THEN[(1, 10)](limit_up,THEN[(1, 5)](shrink_volume_pullback,restart_big_up))",THEN,-0.05675395030199894,0.2696335078534031,1.1918547823846475,0.0013980639376361009,3,5
2,mwega_g002_0053,WITHOUT[10](higher_low),random_inject,,,0.49934278750012107,0.37395833333333334,1.6529994048004228,0.01405383644115871,2,2
2,mwega_g002_0000,"AND(NOT(volume_breakout),THEN[(2, 2)](WITHOUT[5](big_bull_candle),WITHOUT[20](lower_shadow_on_ma)))",random_inject,,,0.27175743801443886,0.2529781331592689,1.1182334133654648,0.0897103226160631,4,8
