factor,valid,support,coverage,baseline_hit_rate,hit_rate,uplift,fail_rate,future_ret_20d_mean,future_ret_20d_median,future_max_up_20d_mean,future_max_drawdown_20d_mean,valid_support,valid_hit_rate,valid_uplift,stability,expr_key,complexity,depth
mwega_final_0001,True,352,0.0012882683404395485,0.22623016817025637,0.40625,1.7957375149642476,0.2528409090909091,0.06860125397679748,0.04723650202479046,0.21216337000768945,-0.08284512128686132,83,0.2891566265060241,1.2520868729692587,0.7117701575532901,"AND(big_up,THEN[(3, 3)](break_ma20_down,NOT(big_bull_candle)))",6,4
mwega_final_0013,True,865,0.0031657730525005948,0.22623016817025637,0.376878612716763,1.6659078484755028,0.44277456647398844,0.03802572936594014,-0.03510971793005124,0.2825669882823319,-0.11754018237292317,264,0.4772727272727273,2.0666547533952824,0.7896504266446462,"AND(big_up,doji_like)",3,2
mwega_final_0000,True,3840,0.01405383644115871,0.22623016817025637,0.37395833333333334,1.6529994048004228,0.075,0.0783856113050075,0.053430131311638096,0.1968480729412911,-0.05815267170038634,62,0.3870967741935484,1.676180813813685,0.9660590277777779,WITHOUT[10](higher_low),2,2
mwega_final_0038,True,26264,0.09612238549234176,0.22623016817025637,0.31430855924459333,1.3893308827320099,0.31887755102040816,0.010037057927756656,-0.012735101203524335,0.1635581404045824,-0.10843987702626746,6845,0.3279766252739226,1.4201826605474,0.9583260971177021,"AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))",7,4
mwega_final_0010,True,1288,0.0047138909729719835,0.22623016817025637,0.30667701863354035,1.3555973596003397,0.3136645962732919,0.04952197182557278,0.01766119287344281,0.17259824611182953,-0.10753279630538563,367,0.2970027247956403,1.2860615281281658,0.9684544545235058,"AND(big_bear_candle,THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),consecutive_down))",8,5
mwega_final_0028,True,12899,0.047208446941277654,0.22623016817025637,0.3058376618342507,1.3518871700792943,0.3494844561593922,0.017807888582297163,-0.009602796727374296,0.1823796028717615,-0.11190641721634736,3373,0.3207826860361696,1.3890319413217371,0.9534107517254413,restart_big_up,1,1
mwega_final_0032,True,16907,0.06187713872673706,0.22623016817025637,0.30289229313302185,1.3388678246708063,0.36067900869462355,0.016753729842531886,-0.012704860998411394,0.18309437215254454,-0.11373648485271456,4427,0.32414727806641064,1.403601074890855,0.9344280011845908,big_up,1,1
mwega_final_0002,True,29328,0.10733617581934965,0.22623016817025637,0.29231451172940537,1.292111101245415,0.12752318603382434,0.043541175751310064,0.027017986637195568,0.16194956137256208,-0.06425986701255783,7042,0.25717125816529396,1.113585949402562,0.8797758846928427,"AND(NOT(volume_breakout),THEN[(3, 10)](WITHOUT[5](big_bull_candle),WITHOUT[20](lower_shadow_on_ma)))",8,4
mwega_final_0007,True,29246,0.10703606785367907,0.22623016817025637,0.29046707242016,1.2839449078319218,0.13417219448813514,0.04038227669337542,0.02491183831248711,0.16103638850117685,-0.06595375397568809,7085,0.2592801693719125,1.122717817034203,0.8926318815127667,"AND(NOT(WITHOUT[5](close_above_mid)),THEN[(3, 10)](WITHOUT[5](big_bull_candle),WITHOUT[20](lower_shadow_on_ma)))",9,4
mwega_final_0033,True,22580,0.08263948615660512,0.22623016817025637,0.28733392382639505,1.270095523290922,0.3259964570416298,0.017254691717098907,-0.0061692417340794,0.16839190890509875,-0.10738763223040095,5756,0.3036831132731063,1.3149885038646048,0.9461636530576258,big_bull_candle,1,1
mwega_final_0014,True,698,0.0025545775614397863,0.22623016817025637,0.2822349570200573,1.2475566777975111,0.20916905444126074,0.031082724454607108,0.00556481283784882,0.15374393771285053,-0.08095245220251786,285,0.3017543859649123,1.306636856616165,0.9353135203571666,"THEN[(2, 10)](AND(WITHOUT[10](close_near_high),COUNT_GE[(3, 1)](ma5_above_ma10)),AND(volume_double,pullback_not_break_ma20))",9,4
mwega_final_0009,True,8796,0.03219206909802917,0.22623016817025637,0.2783083219645293,1.230199863331578,0.2522737608003638,0.047853924767857256,0.027228986318266535,0.15441604193114142,-0.09748799643781333,2070,0.24347826086956523,1.0542934394132455,0.8748508098891732,"THEN[(1, 8)](big_down,consecutive_down)",3,2
mwega_final_0035,True,26933,0.09857082730982487,0.22623016817025637,0.2770578843797572,1.2246725828858018,0.31723164890654587,0.025001157194867122,0.0043469189061662306,0.16860360431481852,-0.10544050463740254,4774,0.30435693338919145,1.317906235103509,0.9103058086916455,"AND(DECAY[10](near_limit_up),WITHOUT[5](long_upper_shadow_high_volume))",5,3
mwega_final_0031,True,5166,0.018906801837246325,0.22623016817025637,0.2770034843205575,1.2244321195575036,0.2706155632984901,0.016394392943672093,-0.006818244573635113,0.15226590807183163,-0.0958812838191872,1677,0.30709600477042337,1.329766780587134,0.9020094042826697,"THEN[(1, 10)](consecutive_down,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))",5,3
