factor,valid,support,coverage,baseline_hit_rate,hit_rate,uplift,fail_rate,future_ret_20d_mean,future_ret_20d_median,future_max_up_20d_mean,future_max_drawdown_20d_mean,valid_support,valid_hit_rate,valid_uplift,stability,expr_key,expression,complexity,depth,non_null_ratio,operation,parents,mutation_op,first_generation,generation,fitness
mwega_g000_0044,True,26770,0.09797427123172361,0.22623016817025637,0.2269331341053418,1.003107304126461,0.1963391856555846,0.038631157222882274,0.021124995449921413,0.13114489902049858,-0.07979683069745089,8987,0.2077445198620229,0.8995615607831187,0.9154437525442557,consecutive_down,consecutive_down,1,1,1.0,template_or_random,,,0,0,0.21696243568116147
mwega_g000_0059,True,17560,0.06426702289238201,0.22623016817025637,0.273120728929385,1.2072692653609296,0.29874715261958995,0.034264166086017706,0.014062905441899365,0.15439010470687115,-0.10330327327227252,4247,0.2705439133506004,1.1714913352019003,0.9905652874137912,big_bear_candle,big_bear_candle,1,1,1.0,template_or_random,,,0,0,0.21363607454719719
mwega_g000_0003,True,6717,0.024583234212308087,0.22623016817025637,0.27378293881196963,1.2101964164475447,0.24132797379782642,0.023362747060425206,0.0043163563689778695,0.15500163673675998,-0.08999502489292287,1417,0.27805222300635146,1.2040033203905172,0.9846457469455862,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))","THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))",5,3,0.9779614325068868,template_or_random,,,0,0,0.2067253931686709
mwega_g000_0054,True,12899,0.047208446941277654,0.22623016817025637,0.3058376618342507,1.3518871700792943,0.3494844561593922,0.017807888582297163,-0.009602796727374296,0.1823796028717615,-0.11190641721634736,3373,0.3207826860361696,1.3890319413217371,0.9534107517254413,restart_big_up,restart_big_up,1,1,1.0,template_or_random,,,0,0,0.18336250020925193
mwega_g000_0021,True,16907,0.06187713872673706,0.22623016817025637,0.30289229313302185,1.3388678246708063,0.36067900869462355,0.016753729842531886,-0.012704860998411394,0.18309437215254454,-0.11373648485271456,4427,0.32414727806641064,1.403601074890855,0.9344280011845908,big_up,big_up,1,1,1.0,template_or_random,,,0,0,0.17002134507492644
mwega_g000_0004,True,26933,0.09857082730982487,0.22623016817025637,0.2770578843797572,1.2246725828858018,0.31723164890654587,0.025001157194867122,0.0043469189061662306,0.16860360431481852,-0.10544050463740254,4774,0.30435693338919145,1.317906235103509,0.9103058086916455,"AND(DECAY[10](near_limit_up),WITHOUT[5](long_upper_shadow_high_volume))","AND(DECAY[10](near_limit_up),WITHOUT[5](long_upper_shadow_high_volume))",5,3,1.0,template_or_random,,,0,0,0.16404868572023934
mwega_g000_0038,True,5957,0.021801745749995424,0.22623016817025637,0.25835151922108446,1.1419852679712204,0.3030048682222595,0.016840913206816292,-0.0025565704217144214,0.14577292681204956,-0.10306807498660166,1629,0.28115408225905464,1.2174347858873902,0.9188965607230275,volume_down_break,volume_down_break,1,1,1.0,template_or_random,,,0,0,0.16065929058835343
mwega_g000_0014,True,64149,0.23477592548538803,0.22623016817025637,0.23877223339412929,1.055439401938799,0.21627772841353723,0.019810922301311783,0.006413418845584662,0.1374113273426015,-0.08351577344380413,19161,0.26172955482490473,1.1333239836975477,0.9122860945293941,higher_high,higher_high,1,1,1.0,template_or_random,,,0,0,0.15928725220245255
mwega_g000_0002,True,26264,0.09612238549234176,0.22623016817025637,0.31430855924459333,1.3893308827320099,0.31887755102040816,0.010037057927756656,-0.012735101203524335,0.1635581404045824,-0.10843987702626746,6845,0.3279766252739226,1.4201826605474,0.9583260971177021,"AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))","AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))",7,4,1.0,template_or_random,,,0,0,0.15664014598267564
mwega_g000_0007,True,11609,0.0424872362618259,0.22623016817025637,0.25816177103971055,1.141146528456908,0.2726333017486433,0.010837565450911964,-0.005510718713270135,0.14345977114843123,-0.09650729704719979,3496,0.2951945080091533,1.278231707559292,0.8745480150725079,long_upper_shadow_high_volume,long_upper_shadow_high_volume,1,1,1.0,template_or_random,,,0,0,0.1443507717986996
mwega_g000_0027,True,23538,0.08614562556041502,0.22623016817025637,0.26242671424929903,1.1599987586615852,0.3052085988614156,0.010675157462650147,-0.00933209555062331,0.15228120202930667,-0.1020669837340761,7254,0.30824372759856633,1.3347365739627495,0.85136108459947,volume_price_confirm,volume_price_confirm,1,1,1.0,template_or_random,,,0,0,0.12753343145647836
mwega_g000_0013,True,21671,0.07931267956154958,0.22623016817025637,0.21743343638964516,0.9611160091876386,0.20640487287157952,0.015912182204492996,0.0035260375309495995,0.12339210294263078,-0.08312444983922561,5294,0.25179448432187385,1.0903037994147922,0.8635353430208412,"THEN[(2, 10)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))","THEN[(2, 10)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",7,3,0.9724517906336088,template_or_random,,,0,0,0.12679461281679347
mwega_g000_0024,True,7063,0.025849543433308326,0.22623016817025637,0.30695172023219597,1.3568116167477282,0.43720798527537874,0.003997913548022064,-0.034422191644909006,0.20645579810807857,-0.12987033664014383,1921,0.3425299323269131,1.483200426868452,0.8961310859666389,near_limit_up,near_limit_up,1,1,1.0,template_or_random,,,0,0,0.12394399157088243
