,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.0577132044775079,-0.07131283097640295,-0.011343629153095648
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.09434317186124513,-0.11348625051570733,-0.020176079009156873
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.20815633680736684,-0.21199974981350544,-0.03848116692014714
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.009361193089804175,0.016138441265937564,0.0023449147106847177
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.07911249559960287,-0.06295326759814665,-0.01524693004008884
20241231,,,
20250102,,,
20250103,,,
20250106,-0.2422843513552888,-0.28100050919372027,-0.03827885047099334
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,0.14534989980965254,0.19535991773886327,0.019226369823974042
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.11927439948496626,-0.10777419382632733,-0.013634368436064599
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.06125167351476519,-0.04313035852893747,-0.0036084205239714407
20250205,0.03291985887782755,0.044552191160331954,0.004367200182790638
20250206,,,
20250207,,,
20250210,0.1230590990649143,0.10907514275778218,0.019166207122282605
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.13698909182889116,0.11195535810617384,0.01822727756733439
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.1634078624206437,-0.2236160041113802,-0.026148432333331664
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.06779215272204032,0.041367968751259636,0.011220495469047829
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.05294281315475497,-0.16530368625682826,-0.012450336789013403
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.054872415878106325,0.0036889417743962627,0.0063240415792005615
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.15810664123753254,-0.09896326548947704,-0.018140950883804473
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.04074039761587135,0.08926935800737264,0.0048986001735015355
20250401,,,
