,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,972335.2359705406
Total Return [%],-2.766476402945948
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000269
Total Fees Paid,0.0
Max Drawdown [%],25.1439626286308
Max Drawdown Duration,329 days 00:00:00
Total Trades,40629
Total Closed Trades,40369
Total Open Trades,260
Open Trade PnL,-5158.3363385408275
Win Rate [%],63.25398201590329
Best Trade [%],205.95226069666904
Worst Trade [%],-39.88496582162531
Avg Winning Trade [%],14.042375642730484
Avg Losing Trade [%],-6.577627466714962
Avg Winning Trade Duration,44 days 18:42:40.532602310
Avg Losing Trade Duration,35 days 16:47:13.871730756
Profit Factor,0.9678608023246547
Expectancy,-0.6008938017571062
Sharpe Ratio,0.056082516288935305
Calmar Ratio,-0.11183824094701725
Omega Ratio,1.0079883398292304
Sortino Ratio,0.0729912880105224
