,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,975050.7642030161
Total Return [%],-2.4949235796983915
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000222
Total Fees Paid,0.0
Max Drawdown [%],22.807805360203844
Max Drawdown Duration,221 days 00:00:00
Total Trades,47865
Total Closed Trades,47605
Total Open Trades,260
Open Trade PnL,20253.25167368989
Win Rate [%],69.49480096628506
Best Trade [%],286.6982989263491
Worst Trade [%],-27.615054578277714
Avg Winning Trade [%],9.406476254047726
Avg Losing Trade [%],-3.685083215779186
Avg Winning Trade Duration,6 days 03:57:39.408155245
Avg Losing Trade Duration,4 days 21:32:42.201656113
Profit Factor,0.9672560984488928
Expectancy,-1.2542301338497204
Sharpe Ratio,0.02901383903479641
Calmar Ratio,-0.11119387371936765
Omega Ratio,1.0042500806974157
Sortino Ratio,0.0371301084248916
