,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1785253.5330770882
Total Return [%],78.52535330770881
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000158
Total Fees Paid,0.0
Max Drawdown [%],12.691690032374773
Max Drawdown Duration,45 days 00:00:00
Total Trades,4905
Total Closed Trades,4879
Total Open Trades,26
Open Trade PnL,-35880.19917083219
Win Rate [%],63.33265013322402
Best Trade [%],90.7495049504951
Worst Trade [%],-26.210295079325373
Avg Winning Trade [%],4.5842128060208545
Avg Losing Trade [%],-2.9104950756318515
Avg Winning Trade Duration,3 days 16:08:51.262135922
Avg Losing Trade Duration,4 days 09:08:39.109026963
Profit Factor,1.4934939582624986
Expectancy,151.70753702642475
Sharpe Ratio,2.5294429021952114
Calmar Ratio,6.324058954166981
Omega Ratio,1.4466303427620346
Sortino Ratio,3.537997766998909
Excess Return [%],26.456503462045454
