date,code
20241114,600668.SH
20241114,605366.SH
20241114,601566.SH
20241114,603639.SH
20241114,605339.SH
20241114,600062.SH
20241114,601199.SH
20241114,600267.SH
20241114,601500.SH
20241114,600076.SH
20241114,600538.SH
20241114,603901.SH
20241114,002303.SZ
20241114,002153.SZ
20241114,000989.SZ
20241114,000899.SZ
20241114,002259.SZ
20241114,000990.SZ
20241114,002440.SZ
20241114,002412.SZ
20241114,002907.SZ
20241114,002365.SZ
20241114,001376.SZ
20241114,002040.SZ
20241114,000533.SZ
20241114,000968.SZ
20241115,600308.SH
20241115,605366.SH
20241115,601566.SH
20241115,603639.SH
20241115,605339.SH
20241115,600062.SH
20241115,601199.SH
20241115,600076.SH
20241115,603915.SH
20241115,601886.SH
20241115,603206.SH
20241115,603106.SH
20241115,002303.SZ
20241115,002153.SZ
20241115,002344.SZ
20241115,000990.SZ
20241115,002412.SZ
20241115,002350.SZ
20241115,002365.SZ
20241115,001330.SZ
20241115,002725.SZ
20241115,002075.SZ
20241115,001376.SZ
20241115,002654.SZ
20241115,000533.SZ
20241115,000968.SZ
20241118,600738.SH
20241118,601566.SH
20241118,603639.SH
20241118,605339.SH
20241118,600062.SH
20241118,600446.SH
20241118,603058.SH
20241118,600361.SH
20241118,603206.SH
20241118,603317.SH
20241118,002099.SZ
20241118,002062.SZ
20241118,001318.SZ
20241118,002611.SZ
20241118,002153.SZ
20241118,002344.SZ
20241118,002259.SZ
20241118,002677.SZ
20241118,002412.SZ
20241118,002350.SZ
20241118,002365.SZ
20241118,001330.SZ
20241118,002109.SZ
20241118,002333.SZ
20241118,001376.SZ
20241118,002390.SZ
20241119,600738.SH
20241119,600288.SH
20241119,603015.SH
20241119,600420.SH
20241119,603566.SH
20241119,603858.SH
20241119,603639.SH
20241119,603162.SH
20241119,600587.SH
20241119,603310.SH
20241119,600361.SH
20241119,600320.SH
20241119,600987.SH
20241119,603289.SH
20241119,603317.SH
20241119,002099.SZ
20241119,001318.SZ
20241119,002556.SZ
20241119,002344.SZ
20241119,002412.SZ
20241119,002350.SZ
20241119,002365.SZ
20241119,002276.SZ
20241119,000905.SZ
20241119,002745.SZ
20241119,000902.SZ
20241120,600738.SH
20241120,600288.SH
20241120,600420.SH
20241120,603566.SH
20241120,603018.SH
20241120,603639.SH
20241120,600933.SH
20241120,600201.SH
20241120,603053.SH
20241120,600996.SH
20241120,600587.SH
20241120,600361.SH
20241120,603966.SH
20241120,603289.SH
20241120,600526.SH
20241120,002099.SZ
20241120,002062.SZ
20241120,001318.SZ
20241120,002611.SZ
20241120,002412.SZ
20241120,002483.SZ
20241120,002860.SZ
20241120,001330.SZ
20241120,000819.SZ
20241120,000756.SZ
20241120,002737.SZ
20241121,600738.SH
20241121,600288.SH
20241121,600843.SH
20241121,603566.SH
20241121,603639.SH
20241121,600933.SH
20241121,600201.SH
20241121,603053.SH
20241121,600996.SH
20241121,600587.SH
20241121,603055.SH
20241121,603310.SH
20241121,600361.SH
20241121,601886.SH
20241121,002099.SZ
20241121,002611.SZ
20241121,000720.SZ
20241121,002309.SZ
20241121,002483.SZ
20241121,002688.SZ
20241121,000819.SZ
20241121,002675.SZ
20241121,002052.SZ
20241121,002765.SZ
20241121,002533.SZ
20241121,002737.SZ
20241122,600738.SH
20241122,600843.SH
20241122,603639.SH
20241122,600933.SH
20241122,601956.SH
20241122,603053.SH
20241122,600587.SH
20241122,600903.SH
20241122,600987.SH
20241122,600917.SH
20241122,600526.SH
20241122,603218.SH
20241122,603551.SH
20241122,603608.SH
20241122,001318.SZ
20241122,002611.SZ
20241122,003013.SZ
20241122,000536.SZ
20241122,002350.SZ
20241122,002490.SZ
20241122,002860.SZ
20241122,002276.SZ
20241122,002198.SZ
20241122,002507.SZ
20241122,000716.SZ
20241122,002765.SZ
20241125,601827.SH
20241125,603777.SH
20241125,603639.SH
20241125,603053.SH
20241125,600903.SH
20241125,600573.SH
20241125,603676.SH
20241125,600987.SH
20241125,600526.SH
20241125,603218.SH
20241125,605166.SH
20241125,603608.SH
20241125,002984.SZ
20241125,003013.SZ
20241125,000048.SZ
20241125,002516.SZ
20241125,002276.SZ
20241125,002198.SZ
20241125,000601.SZ
20241125,002507.SZ
20241125,002675.SZ
20241125,002052.SZ
20241125,002372.SZ
20241125,002674.SZ
20241125,002641.SZ
20241125,002798.SZ
20241126,603313.SH
20241126,603777.SH
20241126,600903.SH
20241126,600573.SH
20241126,603848.SH
20241126,600229.SH
20241126,603101.SH
20241126,603043.SH
20241126,603803.SH
20241126,603218.SH
20241126,002107.SZ
20241126,002568.SZ
20241126,000570.SZ
20241126,002467.SZ
20241126,002984.SZ
20241126,002726.SZ
20241126,003013.SZ
20241126,002363.SZ
20241126,002348.SZ
20241126,002516.SZ
20241126,002960.SZ
20241126,002198.SZ
20241126,002688.SZ
20241126,002372.SZ
20241126,002103.SZ
20241126,002674.SZ
20241127,600548.SH
20241127,603566.SH
20241127,603889.SH
20241127,603863.SH
20241127,600573.SH
20241127,603101.SH
20241127,601686.SH
20241127,600054.SH
20241127,600917.SH
20241127,603043.SH
20241127,600526.SH
20241127,603218.SH
20241127,601218.SH
20241127,002107.SZ
20241127,002467.SZ
20241127,002726.SZ
20241127,002363.SZ
20241127,002849.SZ
20241127,002198.SZ
20241127,002688.SZ
20241127,002560.SZ
20241127,002471.SZ
20241127,002573.SZ
20241127,002372.SZ
20241127,002103.SZ
20241127,000429.SZ
20241128,600548.SH
20241128,603566.SH
20241128,603660.SH
20241128,603866.SH
20241128,603889.SH
20241128,600573.SH
20241128,603158.SH
20241128,600054.SH
20241128,600917.SH
20241128,603043.SH
20241128,601218.SH
20241128,002107.SZ
20241128,002726.SZ
20241128,002849.SZ
20241128,002707.SZ
20241128,002198.SZ
20241128,002688.SZ
20241128,002560.SZ
20241128,002471.SZ
20241128,002573.SZ
20241128,002137.SZ
20241128,002372.SZ
20241128,002103.SZ
20241128,000429.SZ
20241128,000096.SZ
20241128,002724.SZ
20241129,601827.SH
20241129,603878.SH
20241129,603866.SH
20241129,603519.SH
20241129,605555.SH
20241129,603998.SH
20241129,603158.SH
20241129,600313.SH
20241129,600917.SH
20241129,600327.SH
20241129,603887.SH
20241129,601218.SH
20241129,000599.SZ
20241129,002849.SZ
20241129,002860.SZ
20241129,002688.SZ
20241129,002560.SZ
20241129,002471.SZ
20241129,002573.SZ
20241129,000716.SZ
20241129,002372.SZ
20241129,002103.SZ
20241129,000096.SZ
20241129,002724.SZ
20241129,002108.SZ
20241129,002327.SZ
20241202,603033.SH
20241202,601827.SH
20241202,603018.SH
20241202,600830.SH
20241202,603998.SH
20241202,603278.SH
20241202,603158.SH
20241202,600054.SH
20241202,603577.SH
20241202,601218.SH
20241202,000599.SZ
20241202,002031.SZ
20241202,002649.SZ
20241202,002860.SZ
20241202,002688.SZ
20241202,002248.SZ
20241202,002640.SZ
20241202,002560.SZ
20241202,002204.SZ
20241202,002372.SZ
20241202,002103.SZ
20241202,000096.SZ
20241202,002724.SZ
20241202,002520.SZ
20241202,000078.SZ
20241202,002526.SZ
20241203,601827.SH
20241203,603018.SH
20241203,600395.SH
20241203,603909.SH
20241203,603956.SH
20241203,603998.SH
20241203,603278.SH
20241203,603158.SH
20241203,600379.SH
20241203,603739.SH
20241203,600292.SH
20241203,603577.SH
20241203,600929.SH
20241203,601002.SH
20241203,000525.SZ
20241203,002849.SZ
20241203,002031.SZ
20241203,002649.SZ
20241203,002860.SZ
20241203,001330.SZ
20241203,002951.SZ
20241203,002103.SZ
20241203,000096.SZ
20241203,002520.SZ
20241203,002986.SZ
20241203,002526.SZ
20241204,601827.SH
20241204,603209.SH
20241204,603558.SH
20241204,603801.SH
20241204,600571.SH
20241204,600395.SH
20241204,601968.SH
20241204,600530.SH
20241204,603956.SH
20241204,603278.SH
20241204,603158.SH
20241204,601568.SH
20241204,605368.SH
20241204,600684.SH
20241204,603687.SH
20241204,002003.SZ
20241204,000525.SZ
20241204,002218.SZ
20241204,002849.SZ
20241204,002649.SZ
20241204,002860.SZ
20241204,000751.SZ
20241204,000905.SZ
20241204,002951.SZ
20241204,000096.SZ
20241204,002526.SZ
20241205,603558.SH
20241205,600310.SH
20241205,600376.SH
20241205,600395.SH
20241205,601968.SH
20241205,600530.SH
20241205,603956.SH
20241205,600792.SH
20241205,603278.SH
20241205,603739.SH
20241205,600684.SH
20241205,600396.SH
20241205,603279.SH
20241205,002003.SZ
20241205,002011.SZ
20241205,002681.SZ
20241205,000525.SZ
20241205,002218.SZ
20241205,002309.SZ
20241205,000401.SZ
20241205,002649.SZ
20241205,000751.SZ
20241205,000905.SZ
20241205,002951.SZ
20241205,000096.SZ
20241205,002659.SZ
20241206,600782.SH
20241206,603801.SH
20241206,600310.SH
20241206,600395.SH
20241206,601968.SH
20241206,600530.SH
20241206,600792.SH
20241206,600379.SH
20241206,605368.SH
20241206,603739.SH
20241206,600396.SH
20241206,603466.SH
20241206,603279.SH
20241206,603528.SH
20241206,600691.SH
20241206,002275.SZ
20241206,002522.SZ
20241206,002011.SZ
20241206,000525.SZ
20241206,002309.SZ
20241206,000401.SZ
20241206,002478.SZ
20241206,000751.SZ
20241206,002354.SZ
20241206,000096.SZ
20241206,002672.SZ
20241209,600791.SH
20241209,600782.SH
20241209,603527.SH
20241209,601619.SH
20241209,600376.SH
20241209,600530.SH
20241209,600792.SH
20241209,605368.SH
20241209,600396.SH
20241209,603466.SH
20241209,603279.SH
20241209,002275.SZ
20241209,002016.SZ
20241209,000767.SZ
20241209,002328.SZ
20241209,002011.SZ
20241209,000525.SZ
20241209,002309.SZ
20241209,000401.SZ
20241209,002238.SZ
20241209,000677.SZ
20241209,002478.SZ
20241209,002354.SZ
20241209,002951.SZ
20241209,002332.SZ
20241209,000813.SZ
20241210,600782.SH
20241210,603527.SH
20241210,603566.SH
20241210,600502.SH
20241210,601619.SH
20241210,600609.SH
20241210,603027.SH
20241210,600681.SH
20241210,600792.SH
20241210,605008.SH
20241210,600396.SH
20241210,600800.SH
20241210,000767.SZ
20241210,002328.SZ
20241210,002011.SZ
20241210,002681.SZ
20241210,000525.SZ
20241210,002530.SZ
20241210,002309.SZ
20241210,002238.SZ
20241210,002478.SZ
20241210,002481.SZ
20241210,002469.SZ
20241210,002332.SZ
20241210,002277.SZ
20241210,002242.SZ
20241211,603566.SH
20241211,600308.SH
20241211,600617.SH
20241211,600502.SH
20241211,601326.SH
20241211,601619.SH
20241211,600609.SH
20241211,603027.SH
20241211,600740.SH
20241211,600792.SH
20241211,600397.SH
20241211,605008.SH
20241211,600684.SH
20241211,600396.SH
20241211,000767.SZ
20241211,002328.SZ
20241211,002011.SZ
20241211,000525.SZ
20241211,002309.SZ
20241211,002238.SZ
20241211,002115.SZ
20241211,002490.SZ
20241211,002063.SZ
20241211,000690.SZ
20241211,002332.SZ
20241211,000404.SZ
20241212,601827.SH
20241212,603819.SH
20241212,603566.SH
20241212,605007.SH
20241212,600173.SH
20241212,600609.SH
20241212,600395.SH
20241212,600740.SH
20241212,600067.SH
20241212,603071.SH
20241212,601952.SH
20241212,600639.SH
20241212,600397.SH
20241212,601568.SH
20241212,600684.SH
20241212,601065.SH
20241212,002328.SZ
20241212,000759.SZ
20241212,000525.SZ
20241212,002309.SZ
20241212,002115.SZ
20241212,002490.SZ
20241212,000690.SZ
20241212,002103.SZ
20241212,000968.SZ
20241212,002815.SZ
20241213,603819.SH
20241213,603566.SH
20241213,605007.SH
20241213,600173.SH
20241213,600133.SH
20241213,600395.SH
20241213,600740.SH
20241213,600067.SH
20241213,603071.SH
20241213,600639.SH
20241213,600397.SH
20241213,600928.SH
20241213,600908.SH
20241213,603305.SH
20241213,601568.SH
20241213,601200.SH
20241213,600684.SH
20241213,600375.SH
20241213,601065.SH
20241213,002328.SZ
20241213,000759.SZ
20241213,000558.SZ
20241213,000690.SZ
20241213,002332.SZ
20241213,000968.SZ
20241213,000937.SZ
20241216,600782.SH
20241216,603566.SH
20241216,605007.SH
20241216,600325.SH
20241216,600173.SH
20241216,600133.SH
20241216,600395.SH
20241216,603815.SH
20241216,603303.SH
20241216,600925.SH
20241216,600067.SH
20241216,603071.SH
20241216,600397.SH
20241216,601568.SH
20241216,600375.SH
20241216,002016.SZ
20241216,002328.SZ
20241216,000863.SZ
20241216,000530.SZ
20241216,000558.SZ
20241216,000089.SZ
20241216,000930.SZ
20241216,002332.SZ
20241216,002911.SZ
20241216,000937.SZ
20241216,000012.SZ
20241217,600782.SH
20241217,603566.SH
20241217,600461.SH
20241217,600325.SH
20241217,600173.SH
20241217,600395.SH
20241217,603303.SH
20241217,603201.SH
20241217,603071.SH
20241217,600397.SH
20241217,603848.SH
20241217,601886.SH
20241217,600821.SH
20241217,603305.SH
20241217,600072.SH
20241217,603065.SH
20241217,600375.SH
20241217,601065.SH
20241217,002016.SZ
20241217,002023.SZ
20241217,002328.SZ
20241217,002345.SZ
20241217,000089.SZ
20241217,002110.SZ
20241217,002385.SZ
20241217,000012.SZ
20241218,600255.SH
