,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1006144.6671490159
Total Return [%],0.6144667149015948
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000004
Total Fees Paid,0.0
Max Drawdown [%],10.288807315568699
Max Drawdown Duration,39 days 00:00:00
Total Trades,12357
Total Closed Trades,12097
Total Open Trades,260
Open Trade PnL,-51687.42825501891
Win Rate [%],36.30652227825081
Best Trade [%],74.95181804428942
Worst Trade [%],-26.1433793616101
Avg Winning Trade [%],5.6576890837710785
Avg Losing Trade [%],-4.99867155384655
Avg Winning Trade Duration,42 days 03:45:14.754098360
Avg Losing Trade Duration,42 days 21:26:59.017926734
Profit Factor,3.2564584730021515
Expectancy,4.778770747078884
Sharpe Ratio,0.1121876949478341
Calmar Ratio,0.060723109015502263
Omega Ratio,1.031173657273464
Sortino Ratio,0.1452434702033098
