,importance
past_excess_10d,273263.4690692127
amount_share_mean_5d,226990.99079751968
past_excess_20d,222459.91593497992
amount_share,75001.2657725215
amount_share_mean_10d,44675.71940147877
max_drawdown_60d,35982.07531654835
past_ret_20d,27733.63349366188
max_drawdown_10d,24665.259707808495
max_drawdown_20d,24144.545915603638
volatility_60d,22024.557307600975
amount_ratio_mean_10d,21653.29786080122
past_ret_60d,21260.219198346138
past_excess_60d,18937.30284655094
n_members,16996.886553913355
volatility_20d,16789.931745946407
volatility_10d,14640.611965298653
market_ret_1d,14450.953176021576
past_excess_3d,13312.176172335516
past_excess_5d,12902.78002357483
past_ret_10d,11112.34591460228
amount_share_mean_3d,10806.806156873703
past_ret_3d,10589.923354625702
max_drawdown_5d,10382.650500655174
past_ret_5d,10379.827803373337
volatility_5d,9123.903076410294
amount_ratio_mean_5d,8771.007239557803
amount_ratio_mean_3d,8376.704330205917
max_drawdown_3d,8202.785477638245
volatility_3d,6708.940396606922
amount_ratio_20d,5772.831977427006
sector_excess_1d,4681.123846441507
sector_ret_1d,2972.353018760681
