,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1220916.1072662259
Total Return [%],22.091610726622584
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000271
Total Fees Paid,0.0
Max Drawdown [%],20.800253772715283
Max Drawdown Duration,139 days 00:00:00
Total Trades,51135
Total Closed Trades,50875
Total Open Trades,260
Open Trade PnL,-3701.154037144534
Win Rate [%],66.97395577395578
Best Trade [%],256.2874251497005
Worst Trade [%],-27.916472373031514
Avg Winning Trade [%],7.889844788554108
Avg Losing Trade [%],-3.736286354296123
Avg Winning Trade Duration,5 days 00:34:21.550201038
Avg Losing Trade Duration,4 days 20:44:43.514503633
Profit Factor,1.133008452437974
Expectancy,4.114060790278991
Sharpe Ratio,0.9032176550602398
Calmar Ratio,1.0816975390960673
Omega Ratio,1.138011975992794
Sortino Ratio,1.1927129618630694
