,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,775450.2608321769
Total Return [%],-22.454973916782308
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000338
Total Fees Paid,0.0
Max Drawdown [%],31.940355609521898
Max Drawdown Duration,329 days 00:00:00
Total Trades,40972
Total Closed Trades,40712
Total Open Trades,260
Open Trade PnL,-2703.163304057608
Win Rate [%],60.37040675967774
Best Trade [%],142.29150168524393
Worst Trade [%],-40.43686796461418
Avg Winning Trade [%],12.235147679306754
Avg Losing Trade [%],-6.84319747078741
Avg Winning Trade Duration,37 days 05:14:54.946700301
Avg Losing Trade Duration,32 days 14:18:56.371538557
Profit Factor,0.6768143544040809
Expectancy,-5.4784813952368925
Sharpe Ratio,-0.7524170490202551
Calmar Ratio,-0.7133253847345954
Omega Ratio,0.8963482075402411
Sortino Ratio,-0.9401159642486218
