,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1089355.0161519998
Total Return [%],8.935501615199975
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000159
Total Fees Paid,0.0
Max Drawdown [%],21.278980557708678
Max Drawdown Duration,100 days 00:00:00
Total Trades,34309
Total Closed Trades,34049
Total Open Trades,260
Open Trade PnL,-37532.96822003998
Win Rate [%],56.00751857616964
Best Trade [%],172.26792442977057
Worst Trade [%],-42.527790952942176
Avg Winning Trade [%],14.911203674888975
Avg Losing Trade [%],-8.634138690935314
Avg Winning Trade Duration,42 days 09:16:49.208180388
Avg Losing Trade Duration,39 days 02:59:21.750751754
Profit Factor,1.297477933531915
Expectancy,3.7149092131169787
Sharpe Ratio,0.4606563665944349
Calmar Ratio,0.4272495470427352
Omega Ratio,1.0730942529855163
Sortino Ratio,0.6084377044509801
