,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1000384.9662763844
Total Return [%],0.03849662763843739
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000297
Total Fees Paid,0.0
Max Drawdown [%],17.809919481479742
Max Drawdown Duration,143 days 00:00:00
Total Trades,39240
Total Closed Trades,38980
Total Open Trades,260
Open Trade PnL,-15532.614178846281
Win Rate [%],53.33504361210878
Best Trade [%],188.60827490322762
Worst Trade [%],-37.56494321202024
Avg Winning Trade [%],10.03861598177167
Avg Losing Trade [%],-6.439491095664775
Avg Winning Trade Duration,17 days 05:25:07.532467532
Avg Losing Trade Duration,17 days 04:13:07.648875165
Profit Factor,1.0251555326833361
Expectancy,0.3600183648399131
Sharpe Ratio,0.12753451004298116
Calmar Ratio,0.002197660200144413
Omega Ratio,1.0199029940197144
Sortino Ratio,0.16236811197425693
