,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1005731.9886649136
Total Return [%],0.5731988664913583
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000216
Total Fees Paid,0.0
Max Drawdown [%],21.229810807051187
Max Drawdown Duration,166 days 00:00:00
Total Trades,46028
Total Closed Trades,45768
Total Open Trades,260
Open Trade PnL,6387.807691128622
Win Rate [%],67.57122880615277
Best Trade [%],181.41036049480186
Worst Trade [%],-27.925764865072285
Avg Winning Trade [%],7.559978021264406
Avg Losing Trade [%],-3.4361192540479126
Avg Winning Trade Duration,5 days 09:56:30.933195369
Avg Losing Trade Duration,4 days 19:45:06.923548233
Profit Factor,0.9994865046835381
Expectancy,-0.30498888394794577
Sharpe Ratio,0.1452717895405643
Calmar Ratio,0.027452277353005542
Omega Ratio,1.0223234779775479
Sortino Ratio,0.185635247259353
