,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1397173.2639845195
Total Return [%],39.71732639845194
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000149
Total Fees Paid,0.0
Max Drawdown [%],13.609292892457445
Max Drawdown Duration,93 days 00:00:00
Total Trades,46659
Total Closed Trades,46399
Total Open Trades,260
Open Trade PnL,-16167.57330588557
Win Rate [%],61.71684734584797
Best Trade [%],115.54496724240617
Worst Trade [%],-31.519127173918765
Avg Winning Trade [%],3.722663642096722
Avg Losing Trade [%],-3.067216815681353
Avg Winning Trade Duration,5 days 03:57:39.198212040
Avg Losing Trade Duration,6 days 20:12:13.789329685
Profit Factor,1.3908654430929082
Expectancy,8.623895994240264
Sharpe Ratio,1.614264139277473
Calmar Ratio,2.97594394695138
Omega Ratio,1.2721722560300432
Sortino Ratio,2.138091506753989
