,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.10147295950715365,-0.12506374148674648,-0.03720229050094105
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.12126530946260636,-0.22000323145480963,-0.039172028034743095
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.11278512214419262,0.07756817326062143,0.049419039997361545
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.013907390359440112,0.028243323942755083,-0.013971680568277148
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,0.09669244555136372,0.0886989978024124,0.010608879951585513
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.03895573939387481,0.10420543578149213,0.010174551420807892
20241231,,,
20250102,,,
20250103,,,
20250106,-0.06301681671473566,-0.09070172298900651,-0.013619568857137325
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,0.020781902673913215,0.017548821052544468,-0.004234786234439972
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.20857172198513002,-0.2216685164273466,-0.0591283223397121
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.15290900790170142,0.2512493050329121,-0.002347713009567265
20250205,-0.21377740228946335,-0.2646291164639806,-0.042089224241232494
20250206,,,
20250207,,,
20250210,0.14109476736622395,0.11042143514333486,0.008734992149634756
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.05387020067026753,0.047103390611285954,-0.003416433627032955
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.16696952755087976,-0.19359855052712033,-0.035541327225858226
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.10058036000714397,0.04796064135622488,0.07733857266716765
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.040721815681981265,-0.0501014741660527,-0.018881856048240712
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.1073387482874044,-0.1434637565843403,-0.043064807189701716
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,0.08740644975969225,0.10094474228682405,0.020323430830749778
20250325,,,
20250326,,,
20250327,,,
20250328,,,
