,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,798112.8715242491
Total Return [%],-20.188712847575093
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000226
Total Fees Paid,0.0
Max Drawdown [%],25.846980551554715
Max Drawdown Duration,327 days 00:00:00
Total Trades,42494
Total Closed Trades,42234
Total Open Trades,260
Open Trade PnL,23750.275077154416
Win Rate [%],70.40299284936307
Best Trade [%],181.9600910409904
Worst Trade [%],-33.53991754214157
Avg Winning Trade [%],12.157843759849198
Avg Losing Trade [%],-4.507082625093449
Avg Winning Trade Duration,11 days 10:13:44.752808233
Avg Losing Trade Duration,7 days 05:23:08.372093023
Profit Factor,0.7765576206874863
Expectancy,-5.566518591656152
Sharpe Ratio,-0.7495890585252865
Calmar Ratio,-0.7927017484703848
Omega Ratio,0.8932389534318945
Sortino Ratio,-0.9292548615018201
