,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1087357.6288320685
Total Return [%],8.735762883206842
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000019
Total Fees Paid,0.0
Max Drawdown [%],19.92067191892721
Max Drawdown Duration,145 days 00:00:00
Total Trades,49888
Total Closed Trades,49628
Total Open Trades,260
Open Trade PnL,-7952.573735439086
Win Rate [%],63.68582251954542
Best Trade [%],199.42308916237428
Worst Trade [%],-32.316114870415355
Avg Winning Trade [%],4.992157964119708
Avg Losing Trade [%],-3.247132365312952
Avg Winning Trade Duration,4 days 04:36:52.440675821
Avg Losing Trade Duration,4 days 14:52:03.198920195
Profit Factor,1.0680592073849566
Expectancy,1.5380320120017075
Sharpe Ratio,0.47832715543252685
Calmar Ratio,0.4461732157069333
Omega Ratio,1.0729419839629497
Sortino Ratio,0.6072114605174083
