,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1369012.9262487872
Total Return [%],36.90129262487873
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000006
Total Fees Paid,0.0
Max Drawdown [%],12.797318082018927
Max Drawdown Duration,44 days 00:00:00
Total Trades,44066
Total Closed Trades,43806
Total Open Trades,260
Open Trade PnL,-13234.440989483064
Win Rate [%],62.11477879742501
Best Trade [%],99.130483976491
Worst Trade [%],-30.088822392568215
Avg Winning Trade [%],3.917499329505958
Avg Losing Trade [%],-2.947189174752679
Avg Winning Trade Duration,4 days 06:02:14.950385887
Avg Losing Trade Duration,5 days 09:53:48.540065861
Profit Factor,1.3432888169160504
Expectancy,8.418993251258076
Sharpe Ratio,1.5451305892451732
Calmar Ratio,2.9398217358666034
Omega Ratio,1.2693826436530435
Sortino Ratio,2.0576396123818554
