code1,code2,name1,name2,beta,score,half_life,p_value,correlation,data_points
123114.SZ,127054.SZ,三角转债,双箭转债,1.0012,115.1212,40.2757,0.0132,0.9185,240
159812.OF,518890.OF,前海开源黄金ETF,中银上海金ETF,1.0030,113.2576,44.0909,0.0000,1.0000,240
159351.OF,563880.OF,嘉实中证A500ETF,汇添富中证A500ETF,0.9998,113.1613,44.2064,0.0000,0.9999,227
159361.OF,560530.OF,易方达中证A500ETF,摩根中证A500ETF,0.9898,113.1165,44.2602,0.0000,0.9998,231
159639.OF,562990.OF,南方中证上海环交所碳中和ETF,易方达中证上海环交所碳中和ETF,1.0036,112.1415,45.4301,0.0000,0.9999,240
159300.OF,510330.OF,富国沪深300ETF,华夏沪深300ETF,0.9935,111.9453,45.1093,0.0046,0.9998,240
111000.SH,128119.SZ,起帆转债,龙大转债,0.9828,111.8078,45.2682,0.0047,0.9689,240
113633.SH,127069.SZ,科沃转债,小熊转债,1.0161,110.3802,47.3957,0.0012,0.9645,240
588030.OF,588120.OF,博时上证科创板100ETF,国泰上证科创板100ETF,1.0072,110.2728,43.5954,0.0340,0.9999,240
123104.SZ,123114.SZ,卫宁转债,三角转债,0.9994,110.2285,47.6674,0.0005,0.9219,240
518660.OF,518800.OF,工银黄金ETF,国泰黄金ETF,0.9947,109.4049,48.6875,0.0002,1.0000,240
512050.OF,563800.OF,华夏中证A500ETF,广发中证A500ETF,0.9997,109.2369,48.9156,0.0000,0.9999,232
518850.OF,518860.OF,华夏黄金ETF,建信上海金ETF,0.9987,108.4369,49.8757,0.0000,0.9999,240
113633.SH,123114.SZ,科沃转债,三角转债,1.0141,107.3429,51.0815,0.0009,0.9226,240
127022.SZ,127030.SZ,恒逸转债,盛虹转债,1.0118,106.8561,48.6347,0.0261,0.9453,240
113627.SH,123114.SZ,太平转债,三角转债,1.0159,106.6084,50.9186,0.0096,0.8755,240
113627.SH,123114.SZ,太平转债,三角转债,1.0159,106.6084,50.9186,0.0096,0.8755,240
111021.SH,128128.SZ,奥锐转债,齐翔转2,0.9916,106.4057,52.2953,0.0001,0.9366,240
111021.SH,128128.SZ,奥锐转债,齐翔转2,0.9916,106.4057,52.2953,0.0001,0.9366,240
113652.SH,127022.SZ,伟22转债,恒逸转债,0.9779,106.2160,52.5336,0.0001,0.9551,240
159934.OF,518600.OF,易方达黄金ETF,广发上海金ETF,0.9993,105.8409,52.9909,0.0000,0.9999,240
159603.OF,588350.OF,天弘中证科创创业50ETF,鹏扬中证科创创业50ETF,0.9907,105.8325,51.4487,0.0129,0.9999,240
113623.SH,118042.SH,凤21转债,奥维转债,0.9892,105.7891,52.4232,0.0052,0.9684,240
110076.SH,111001.SH,华海转债,山玻转债,1.0066,105.7074,53.1392,0.0001,0.9643,240
110085.SH,127103.SZ,通22转债,东南转债,0.9860,105.6880,53.1579,0.0001,0.9542,240
