,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1014870.9643742675
Total Return [%],1.4870964374267475
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000019
Total Fees Paid,0.0
Max Drawdown [%],12.6864958668257
Max Drawdown Duration,58 days 00:00:00
Total Trades,21344
Total Closed Trades,21084
Total Open Trades,260
Open Trade PnL,-11339.872016987332
Win Rate [%],57.000569151963575
Best Trade [%],202.25653526265558
Worst Trade [%],-33.483804823035946
Avg Winning Trade [%],4.575946774217604
Avg Losing Trade [%],-3.523447532910836
Avg Winning Trade Duration,5 days 00:43:15.307039440
Avg Losing Trade Duration,6 days 14:03:29.148580968
Profit Factor,1.0519173954534404
Expectancy,1.0272975755500937
Sharpe Ratio,0.17530412648847254
Calmar Ratio,0.11919267649390372
Omega Ratio,1.036785055051615
Sortino Ratio,0.23582288967780554
