,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,858404.1964302952
Total Return [%],-14.15958035697047
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000015
Total Fees Paid,0.0
Max Drawdown [%],29.887612144008514
Max Drawdown Duration,329 days 00:00:00
Total Trades,41846
Total Closed Trades,41586
Total Open Trades,260
Open Trade PnL,5702.452628866904
Win Rate [%],63.3578608185447
Best Trade [%],177.86644513534134
Worst Trade [%],-37.89466129326634
Avg Winning Trade [%],13.75243502321023
Avg Losing Trade [%],-6.358286231462208
Avg Winning Trade Duration,18 days 19:17:10.211021709
Avg Losing Trade Duration,13 days 18:24:48.575569903
Profit Factor,0.8468702734413136
Expectancy,-3.633453687155413
Sharpe Ratio,-0.34424066611657006
Calmar Ratio,-0.4810804237682822
Omega Ratio,0.9519056900247878
Sortino Ratio,-0.43930475402914565
