,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1039256.32591414
Total Return [%],3.9256325914140024
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.000000000002
Total Fees Paid,0.0
Max Drawdown [%],15.035814832554676
Max Drawdown Duration,90 days 00:00:00
Total Trades,27030
Total Closed Trades,26770
Total Open Trades,260
Open Trade PnL,-77584.2732441603
Win Rate [%],53.74673141576392
Best Trade [%],202.09003541545326
Worst Trade [%],-41.095292311138856
Avg Winning Trade [%],13.42185047841657
Avg Losing Trade [%],-8.588263823858115
Avg Winning Trade Duration,57 days 01:32:16.613844871
Avg Losing Trade Duration,57 days 09:56:33.886462882
Profit Factor,1.54913257152601
Expectancy,4.354325680276099
Sharpe Ratio,0.29347342102131224
Calmar Ratio,0.26553498324884467
Omega Ratio,1.0490939389674863
Sortino Ratio,0.3991376756636374
