跟踪指数代码,跟踪指数名称,基金规模(亿元)
000300.SH,沪深300,11346.48106821
000510.SH,中证A500,2828.42391097
000688.SH,科创50,2120.17605203
000016.SH,上证50,1795.9489447999997
000905.SH,中证500,1732.93721884
399006.SZ,创业板指,1538.39505379
000852.SH,中证1000,1502.5548015
399975.SZ,证券公司,968.40773803
980017.CNI,国证芯片(CNI),491.03429462
399673.SZ,创业板50,458.3811001
000685.SH,科创芯片,409.59589564
399989.SZ,中证医疗,402.05988169
399997.SZ,中证白酒,397.00184124
931643.CSI,科创创业50,391.63664216
h30269.CSI,红利低波,384.44928564
930713.CSI,CS人工智,373.18257113
399986.SZ,中证银行,347.65011266
399967.SZ,中证军工,340.45595893
930050.CSI,中证A50,318.11502152
h30590.CSI,机器人,304.29696433
