,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1423959.33761844
Total Return [%],42.39593376184398
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000012
Total Fees Paid,0.0
Max Drawdown [%],13.352470706508635
Max Drawdown Duration,58 days 00:00:00
Total Trades,47438
Total Closed Trades,47178
Total Open Trades,260
Open Trade PnL,-18139.80679008636
Win Rate [%],62.58849463733096
Best Trade [%],231.37905071233592
Worst Trade [%],-32.15448316253893
Avg Winning Trade [%],4.06681206705638
Avg Losing Trade [%],-3.0575707408904056
Avg Winning Trade Duration,4 days 20:25:02.031969655
Avg Losing Trade Duration,6 days 05:54:08.679201753
Profit Factor,1.3616981457559862
Expectancy,8.904656621922385
Sharpe Ratio,1.705324604739934
Calmar Ratio,3.238319743279162
Omega Ratio,1.2853181657968646
Sortino Ratio,2.2650356334622725
