,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,385997.7106891164
Total Return [%],-61.400228931088364
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000271
Total Fees Paid,0.0
Max Drawdown [%],63.99458833664122
Max Drawdown Duration,337 days 00:00:00
Total Trades,4000
Total Closed Trades,3980
Total Open Trades,20
Open Trade PnL,-8847.02470322077
Win Rate [%],61.60804020100502
Best Trade [%],153.73070432718706
Worst Trade [%],-30.818605320825487
Avg Winning Trade [%],11.270864292466896
Avg Losing Trade [%],-6.242473161191943
Avg Winning Trade Duration,4 days 00:41:41.794453507
Avg Losing Trade Duration,4 days 08:30:41.529334212
Profit Factor,0.7206354304696743
Expectancy,-155.99562884285564
Sharpe Ratio,-2.545375789390847
Calmar Ratio,-0.9689799998961965
Omega Ratio,0.7096138979597377
Sortino Ratio,-3.1696149222905525
