,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1328285.87088792
Total Return [%],32.828587088792
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000246
Total Fees Paid,0.0
Max Drawdown [%],18.17416782400112
Max Drawdown Duration,101 days 00:00:00
Total Trades,48223
Total Closed Trades,47963
Total Open Trades,260
Open Trade PnL,-8466.747205551046
Win Rate [%],63.444738652711465
Best Trade [%],95.91816587170605
Worst Trade [%],-31.523427265458114
Avg Winning Trade [%],5.48267763481088
Avg Losing Trade [%],-3.858823820493658
Avg Winning Trade Duration,5 days 06:42:33.953335524
Avg Losing Trade Duration,6 days 07:47:16.954267941
Profit Factor,1.2254570859682046
Expectancy,6.714375155891016
Sharpe Ratio,1.218628755702576
Calmar Ratio,1.8410918406308507
Omega Ratio,1.1896867037320185
Sortino Ratio,1.6184328899502778
