,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,850441.6092503448
Total Return [%],-14.955839074965512
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000348
Total Fees Paid,0.0
Max Drawdown [%],24.462423489672094
Max Drawdown Duration,329 days 00:00:00
Total Trades,42374
Total Closed Trades,42114
Total Open Trades,260
Open Trade PnL,3496.7866912149243
Win Rate [%],62.34981241392411
Best Trade [%],231.78601354415585
Worst Trade [%],-40.708849466319236
Avg Winning Trade [%],13.682997318534982
Avg Losing Trade [%],-6.44001754790772
Avg Winning Trade Duration,36 days 12:42:07.046995201
Avg Losing Trade Duration,31 days 01:17:20.213049267
Profit Factor,0.8114366200312134
Expectancy,-3.7381844156660105
Sharpe Ratio,-0.3987221761154135
Calmar Ratio,-0.6207801044334376
Omega Ratio,0.9457000739098603
Sortino Ratio,-0.5134492814876847
