,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1269507.5656096009
Total Return [%],26.95075656096008
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000122
Total Fees Paid,0.0
Max Drawdown [%],16.34202633614576
Max Drawdown Duration,134 days 00:00:00
Total Trades,40658
Total Closed Trades,40398
Total Open Trades,260
Open Trade PnL,-21372.187858509402
Win Rate [%],56.24040794098718
Best Trade [%],205.50571217320933
Worst Trade [%],-37.140647406663106
Avg Winning Trade [%],8.829434515586179
Avg Losing Trade [%],-5.459011525477629
Avg Winning Trade Duration,63 days 02:00:21.549295775
Avg Losing Trade Duration,57 days 00:48:02.619074684
Profit Factor,1.7584870275379174
Expectancy,7.15502719199681
Sharpe Ratio,1.1679439686594988
Calmar Ratio,1.6802124635684912
Omega Ratio,1.194298366619436
Sortino Ratio,1.5219686640956118
