step,kept,dropped,examples
"market_cap [20,1000] 亿",147,172,"SH600000,SH600010,SH600011,SH600015,SH600016"
"price [2.00,50.00] 元 (last)",79,68,"SH600023,SH600066,SH600332,SH600436,SH600515"
FINAL,79,240,
