datetime,_root__momentum_factor,_root__risk_adjusted_momentum
2025-06-03,,
2025-06-04,,
2025-06-05,,
2025-06-06,,
2025-06-09,,
2025-06-10,,
2025-06-11,,
2025-06-12,,
2025-06-13,,
2025-06-16,,
2025-06-17,,
2025-06-18,,
2025-06-19,,
2025-06-20,,
2025-06-23,,
2025-06-24,,
2025-06-25,,
2025-06-26,,
2025-06-27,,
2025-06-30,,
2025-07-01,-0.0311146324675873,-0.04057786433183684
2025-07-02,-0.07323755944251323,-0.07513329404486746
2025-07-03,-0.15767493520918177,-0.22689374305812657
2025-07-04,-0.10020066790847008,-0.09381779946795123
2025-07-07,-0.10061533221551076,-0.0849765640642627
2025-07-08,-0.28145131432802656,-0.3465531284709366
2025-07-09,0.12636801184746385,0.13406886338393187
2025-07-10,-0.010828426834970309,0.027285858043796588
2025-07-11,-0.1767493520918178,-0.0958311736393928
2025-07-14,-0.2017178822658274,-0.1291521658644946
2025-07-15,-0.2754091077378748,-0.23755646057015914
2025-07-16,0.09492705428868717,0.11213804462781254
2025-07-17,-0.0562393548344742,-0.0860697632191545
2025-07-18,-0.20485897711762738,-0.11086346437523013
2025-07-21,-0.06439144310760093,0.03404690149594631
2025-07-22,-0.1610822738457625,-0.1792534561578661
2025-07-23,0.3304503652057489,0.2791789465555314
2025-07-24,-0.08469455757126988,-0.15646057015920026
2025-07-25,-0.11072935949648274,0.004250277674935208
2025-07-28,0.35561877667140823,0.19177809388335704
2025-07-29,-0.2705301640137128,-0.27259084346950824
2025-07-30,-0.20304409672830723,-0.2077382645803698
2025-07-31,-0.18569122113713724,-0.1751221559230348
2025-08-01,-0.28473886728221814,-0.22515096125008488
2025-08-04,-0.18621523626307945,-0.255025251374196
2025-08-05,-0.07879650066166517,-0.09282310287368935
2025-08-06,-0.3212233285917497,-0.22017069701280226
2025-08-07,-0.22352773826458036,-0.23320056899004266
2025-08-08,-0.04935988620199146,-0.11886201991465148
2025-08-11,0.0023044752349364564,0.0843836240348337
2025-08-12,0.07066856330014225,0.038349928876244666
2025-08-13,-0.28984352773826455,-0.15223328591749646
2025-08-14,0.4292745376955903,0.41482219061166425
2025-08-15,-0.0001991465149359886,0.007510668563300142
2025-08-18,-0.30185646281637,-0.2969628003813433
2025-08-19,0.0765444743168466,0.11958918334542454
2025-08-20,-0.4996194852152344,-0.49367349697903684
2025-08-21,0.2664741570064342,0.29402769579474686
