datetime,benchmark,score_equal_weight,score_ic_weighted,score_rule_based
2025-06-03,0.0,0.0,0.0,0.0
2025-06-04,0.0043432713,0.0,0.0,0.0
2025-06-05,0.0022797585,0.0,0.0,0.0
2025-06-06,-0.00092321634,0.0,0.0,0.0
2025-06-09,0.0029091835,0.0,0.0,0.0
2025-06-10,-0.0050911307,0.0,0.0,0.0
2025-06-11,0.007543683,0.0,0.0,0.0
2025-06-12,-0.0006239414,0.0,0.0,0.0
2025-06-13,-0.0071989894,0.0,0.0,0.0
2025-06-16,0.0024895668,0.0,0.0,0.0
2025-06-17,-0.000882864,0.0,0.0,0.0
2025-06-18,0.001185894,0.0,0.0,0.0
2025-06-19,-0.0082271695,0.0,0.0,0.0
2025-06-20,0.0009237528,0.0,0.0,0.0
2025-06-23,0.002927184,0.0,0.0,0.0
2025-06-24,0.011957288,0.0,0.0,0.0
2025-06-25,0.014354348,0.0,0.0,0.0
2025-06-26,-0.0035479069,0.0,0.0,0.0
2025-06-27,-0.006147921,0.0,0.0,0.0
2025-06-30,0.0036514997,0.0,0.0,0.0
2025-07-01,0.0016970634,-0.017845361563568307,-0.0005423011403187239,-0.0009835920714922342
2025-07-02,0.00023329258,0.022117990895236028,0.010353912661842601,0.009133905287583843
2025-07-03,0.006184578,0.0037684102064787783,1.8498921769971588e-06,1.8498921769971588e-06
2025-07-04,0.00356102,-0.0033655489833662733,-0.0015784066038696531,-0.0021751774697038595
2025-07-07,-0.004276514,0.028416750444070216,0.006723060176729856,0.006723060176729856
2025-07-08,0.008393168,-0.005437809308137198,0.00097839947892564,0.00097839947892564
2025-07-09,-0.0017632246,0.009392779093204018,-0.00452128025806986,-0.004889484546125367
2025-07-10,0.004664898,-0.01520558562534613,0.006604854207289179,0.0068236799890126765
2025-07-11,0.0011945963,0.0038340041815201342,0.005710055813305637,0.005710055813305637
2025-07-14,0.0007123947,0.02372355476483401,-0.0003240354218004837,-0.0003240354218004837
2025-07-15,0.00034594536,-0.010457425254158936,0.0017715381697196442,0.0017715381697196442
2025-07-16,-0.0029509664,0.030951919035241415,0.0049460039133406575,0.0049460039133406575
2025-07-17,0.0068101883,0.0043571504883281875,0.005732960438519452,0.005626671352368939
2025-07-18,0.005963564,0.0120036956929499,0.009513265512508307,0.009513265512508307
