order_id,side,level_index,price,qty,placed_time,status
1082187678,BUY,-152,0.924,100,2026-05-18 13:00:02,placed
1082187679,BUY,-151,0.925,100,2026-05-18 13:00:02,placed
1082187680,BUY,-150,0.926,100,2026-05-18 13:00:02,placed
1082187681,BUY,-149,0.927,100,2026-05-18 13:00:02,placed
1082187682,BUY,-148,0.928,100,2026-05-18 13:00:02,placed
1082187900,BUY,-147,0.929,100,2026-05-18 13:00:16,placed
1082188098,BUY,-153,0.923,100,2026-05-18 13:00:40,placed
1082188221,BUY,-146,0.93,100,2026-05-18 13:01:01,placed
1082188388,BUY,-147,0.929,100,2026-05-18 13:01:49,placed
1082189185,BUY,-154,0.922,100,2026-05-18 13:04:40,placed
1082189387,BUY,-155,0.921,100,2026-05-18 13:05:13,placed
1082189509,BUY,-150,0.926,100,2026-05-18 13:05:34,placed
1082190505,BUY,-149,0.927,100,2026-05-18 13:10:43,placed
1082190717,BUY,-147,0.929,100,2026-05-18 13:12:04,placed
1082191091,BUY,-145,0.931,100,2026-05-18 13:14:52,placed
1082191098,BUY,-147,0.929,100,2026-05-18 13:14:55,placed
1082194114,BUY,-150,0.926,100,2026-05-18 13:34:31,placed
1082194788,BUY,-156,0.92,100,2026-05-18 13:38:04,placed
1082195312,BUY,-151,0.925,100,2026-05-18 13:41:37,placed
1082197670,BUY,-152,0.924,100,2026-05-18 13:58:55,placed
1082197861,BUY,-151,0.925,100,2026-05-18 13:59:49,placed
1082198328,BUY,-150,0.926,100,2026-05-18 14:02:07,placed
1082198666,BUY,-149,0.927,100,2026-05-18 14:04:04,placed
1082205124,BUY,-147,0.929,100,2026-05-18 14:28:43,placed
1082205135,BUY,-149,0.927,100,2026-05-18 14:28:46,placed
1082206073,BUY,-147,0.929,100,2026-05-18 14:31:01,placed
1082206102,BUY,-146,0.93,100,2026-05-18 14:31:04,placed
1082207255,BUY,-147,0.929,100,2026-05-18 14:34:16,placed
1082207437,BUY,-146,0.93,100,2026-05-18 14:34:55,placed
1082209837,BUY,-145,0.931,100,2026-05-18 14:39:34,placed
1082209849,BUY,-146,0.93,100,2026-05-18 14:39:37,placed
1082209893,BUY,-144,0.932,100,2026-05-18 14:39:46,placed
1082213699,BUY,-145,0.931,100,2026-05-18 14:47:31,placed
1082213868,BUY,-144,0.932,100,2026-05-18 14:48:04,placed
1082216326,BUY,-146,0.93,100,2026-05-18 14:51:16,placed
1082216435,BUY,-145,0.931,100,2026-05-18 14:51:25,placed
