,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1038457.2471737765
Total Return [%],3.845724717377647
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.000000000003
Total Fees Paid,0.0
Max Drawdown [%],19.76621570953662
Max Drawdown Duration,147 days 00:00:00
Total Trades,47312
Total Closed Trades,47052
Total Open Trades,260
Open Trade PnL,-13757.341532427577
Win Rate [%],60.273739692255376
Best Trade [%],99.89323429888704
Worst Trade [%],-29.4749363100774
Avg Winning Trade [%],5.3072660568380154
Avg Losing Trade [%],-3.7998276297562987
Avg Winning Trade Duration,4 days 17:32:53.145275035
Avg Losing Trade Duration,5 days 13:59:42.897862232
Profit Factor,1.0375733636917235
Expectancy,0.8418607087924954
Sharpe Ratio,0.27895688552994025
Calmar Ratio,0.1978749871725465
Omega Ratio,1.04179701317441
Sortino Ratio,0.35688277419773595
